id,status,seed,backbone_lr,mode,stages,M,S,k,r,h,rho_by_stage,bridge_parameters,bridge_flops_per_participant
depth_linear_resample_stages2_r16_lr3e-05_seed3416,new_pending_gpu_acceptance,3416,3e-05,linear_resample,2,32,64,3,16,512,2:0.125,3145728,1666387968.0
depth_radon_stages2_r16_lr3e-05_seed3416,new_pending_gpu_acceptance,3416,3e-05,radon,2,32,64,3,16,512,2:0.125,3145728,1274384896.0
depth_linear_resample_stages2_r16_lr6e-05_seed3416,new_pending_gpu_acceptance,3416,6e-05,linear_resample,2,32,64,3,16,512,2:0.125,3145728,1666387968.0
depth_radon_stages2_r16_lr6e-05_seed3416,new_pending_gpu_acceptance,3416,6e-05,radon,2,32,64,3,16,512,2:0.125,3145728,1274384896.0
depth_linear_resample_stages2_r16_lr3e-05_seed3417,new_pending_gpu_acceptance,3417,3e-05,linear_resample,2,32,64,3,16,512,2:0.125,3145728,1666387968.0
depth_radon_stages2_r16_lr3e-05_seed3417,new_pending_gpu_acceptance,3417,3e-05,radon,2,32,64,3,16,512,2:0.125,3145728,1274384896.0
depth_linear_resample_stages2_r16_lr6e-05_seed3417,new_pending_gpu_acceptance,3417,6e-05,linear_resample,2,32,64,3,16,512,2:0.125,3145728,1666387968.0
depth_radon_stages2_r16_lr6e-05_seed3417,new_pending_gpu_acceptance,3417,6e-05,radon,2,32,64,3,16,512,2:0.125,3145728,1274384896.0
depth_linear_resample_stages2_r16_lr3e-05_seed3418,new_pending_gpu_acceptance,3418,3e-05,linear_resample,2,32,64,3,16,512,2:0.125,3145728,1666387968.0
depth_radon_stages2_r16_lr3e-05_seed3418,new_pending_gpu_acceptance,3418,3e-05,radon,2,32,64,3,16,512,2:0.125,3145728,1274384896.0
depth_linear_resample_stages2_r16_lr6e-05_seed3418,new_pending_gpu_acceptance,3418,6e-05,linear_resample,2,32,64,3,16,512,2:0.125,3145728,1666387968.0
depth_radon_stages2_r16_lr6e-05_seed3418,new_pending_gpu_acceptance,3418,6e-05,radon,2,32,64,3,16,512,2:0.125,3145728,1274384896.0
depth_linear_resample_stages3_r16_lr3e-05_seed3416,reuse_pending_hash_acceptance,3416,3e-05,linear_resample,3,32,64,3,16,512,3:0.0625,3145728,948488192.0
depth_radon_stages3_r16_lr3e-05_seed3416,reuse_pending_hash_acceptance,3416,3e-05,radon,3,32,64,3,16,512,3:0.0625,3145728,887047296.0
depth_linear_resample_stages3_r16_lr6e-05_seed3416,reuse_pending_hash_acceptance,3416,6e-05,linear_resample,3,32,64,3,16,512,3:0.0625,3145728,948488192.0
depth_radon_stages3_r16_lr6e-05_seed3416,reuse_pending_hash_acceptance,3416,6e-05,radon,3,32,64,3,16,512,3:0.0625,3145728,887047296.0
depth_linear_resample_stages3_r16_lr3e-05_seed3417,reuse_pending_hash_acceptance,3417,3e-05,linear_resample,3,32,64,3,16,512,3:0.0625,3145728,948488192.0
depth_radon_stages3_r16_lr3e-05_seed3417,reuse_pending_hash_acceptance,3417,3e-05,radon,3,32,64,3,16,512,3:0.0625,3145728,887047296.0
depth_linear_resample_stages3_r16_lr6e-05_seed3417,reuse_pending_hash_acceptance,3417,6e-05,linear_resample,3,32,64,3,16,512,3:0.0625,3145728,948488192.0
depth_radon_stages3_r16_lr6e-05_seed3417,reuse_pending_hash_acceptance,3417,6e-05,radon,3,32,64,3,16,512,3:0.0625,3145728,887047296.0
depth_linear_resample_stages3_r16_lr3e-05_seed3418,reuse_pending_hash_acceptance,3418,3e-05,linear_resample,3,32,64,3,16,512,3:0.0625,3145728,948488192.0
depth_radon_stages3_r16_lr3e-05_seed3418,reuse_pending_hash_acceptance,3418,3e-05,radon,3,32,64,3,16,512,3:0.0625,3145728,887047296.0
depth_linear_resample_stages3_r16_lr6e-05_seed3418,reuse_pending_hash_acceptance,3418,6e-05,linear_resample,3,32,64,3,16,512,3:0.0625,3145728,948488192.0
depth_radon_stages3_r16_lr6e-05_seed3418,reuse_pending_hash_acceptance,3418,6e-05,radon,3,32,64,3,16,512,3:0.0625,3145728,887047296.0
depth_linear_resample_stages3_r23_lr3e-05_seed3416,new_pending_gpu_acceptance,3416,3e-05,linear_resample,3,32,64,3,23,736,3:0.08984375,6500352,1869929216.0
depth_radon_stages3_r23_lr3e-05_seed3416,new_pending_gpu_acceptance,3416,3e-05,radon,3,32,64,3,23,736,3:0.08984375,6500352,1781607928.0
depth_linear_resample_stages3_r23_lr6e-05_seed3416,new_pending_gpu_acceptance,3416,6e-05,linear_resample,3,32,64,3,23,736,3:0.08984375,6500352,1869929216.0
depth_radon_stages3_r23_lr6e-05_seed3416,new_pending_gpu_acceptance,3416,6e-05,radon,3,32,64,3,23,736,3:0.08984375,6500352,1781607928.0
depth_linear_resample_stages3_r23_lr3e-05_seed3417,new_pending_gpu_acceptance,3417,3e-05,linear_resample,3,32,64,3,23,736,3:0.08984375,6500352,1869929216.0
depth_radon_stages3_r23_lr3e-05_seed3417,new_pending_gpu_acceptance,3417,3e-05,radon,3,32,64,3,23,736,3:0.08984375,6500352,1781607928.0
depth_linear_resample_stages3_r23_lr6e-05_seed3417,new_pending_gpu_acceptance,3417,6e-05,linear_resample,3,32,64,3,23,736,3:0.08984375,6500352,1869929216.0
depth_radon_stages3_r23_lr6e-05_seed3417,new_pending_gpu_acceptance,3417,6e-05,radon,3,32,64,3,23,736,3:0.08984375,6500352,1781607928.0
depth_linear_resample_stages3_r23_lr3e-05_seed3418,new_pending_gpu_acceptance,3418,3e-05,linear_resample,3,32,64,3,23,736,3:0.08984375,6500352,1869929216.0
depth_radon_stages3_r23_lr3e-05_seed3418,new_pending_gpu_acceptance,3418,3e-05,radon,3,32,64,3,23,736,3:0.08984375,6500352,1781607928.0
depth_linear_resample_stages3_r23_lr6e-05_seed3418,new_pending_gpu_acceptance,3418,6e-05,linear_resample,3,32,64,3,23,736,3:0.08984375,6500352,1869929216.0
depth_radon_stages3_r23_lr6e-05_seed3418,new_pending_gpu_acceptance,3418,6e-05,radon,3,32,64,3,23,736,3:0.08984375,6500352,1781607928.0
depth_linear_resample_stages3_r28_lr3e-05_seed3416,new_pending_gpu_acceptance,3416,3e-05,linear_resample,3,32,64,3,28,896,3:0.109375,9633792,2716891136.0
depth_radon_stages3_r28_lr3e-05_seed3416,new_pending_gpu_acceptance,3416,3e-05,radon,3,32,64,3,28,896,3:0.109375,9633792,2609369568.0
depth_linear_resample_stages3_r28_lr6e-05_seed3416,new_pending_gpu_acceptance,3416,6e-05,linear_resample,3,32,64,3,28,896,3:0.109375,9633792,2716891136.0
depth_radon_stages3_r28_lr6e-05_seed3416,new_pending_gpu_acceptance,3416,6e-05,radon,3,32,64,3,28,896,3:0.109375,9633792,2609369568.0
depth_linear_resample_stages3_r28_lr3e-05_seed3417,new_pending_gpu_acceptance,3417,3e-05,linear_resample,3,32,64,3,28,896,3:0.109375,9633792,2716891136.0
depth_radon_stages3_r28_lr3e-05_seed3417,new_pending_gpu_acceptance,3417,3e-05,radon,3,32,64,3,28,896,3:0.109375,9633792,2609369568.0
depth_linear_resample_stages3_r28_lr6e-05_seed3417,new_pending_gpu_acceptance,3417,6e-05,linear_resample,3,32,64,3,28,896,3:0.109375,9633792,2716891136.0
depth_radon_stages3_r28_lr6e-05_seed3417,new_pending_gpu_acceptance,3417,6e-05,radon,3,32,64,3,28,896,3:0.109375,9633792,2609369568.0
depth_linear_resample_stages3_r28_lr3e-05_seed3418,new_pending_gpu_acceptance,3418,3e-05,linear_resample,3,32,64,3,28,896,3:0.109375,9633792,2716891136.0
depth_radon_stages3_r28_lr3e-05_seed3418,new_pending_gpu_acceptance,3418,3e-05,radon,3,32,64,3,28,896,3:0.109375,9633792,2609369568.0
depth_linear_resample_stages3_r28_lr6e-05_seed3418,new_pending_gpu_acceptance,3418,6e-05,linear_resample,3,32,64,3,28,896,3:0.109375,9633792,2716891136.0
depth_radon_stages3_r28_lr6e-05_seed3418,new_pending_gpu_acceptance,3418,6e-05,radon,3,32,64,3,28,896,3:0.109375,9633792,2609369568.0
depth_linear_resample_stages4_r16_lr3e-05_seed3416,new_pending_gpu_acceptance,3416,3e-05,linear_resample,4,32,64,3,16,512,4:0.03125,3145728,833442816.0
depth_radon_stages4_r16_lr3e-05_seed3416,new_pending_gpu_acceptance,3416,3e-05,radon,4,32,64,3,16,512,4:0.03125,3145728,822652576.0
depth_linear_resample_stages4_r16_lr6e-05_seed3416,new_pending_gpu_acceptance,3416,6e-05,linear_resample,4,32,64,3,16,512,4:0.03125,3145728,833442816.0
depth_radon_stages4_r16_lr6e-05_seed3416,new_pending_gpu_acceptance,3416,6e-05,radon,4,32,64,3,16,512,4:0.03125,3145728,822652576.0
depth_linear_resample_stages4_r16_lr3e-05_seed3417,new_pending_gpu_acceptance,3417,3e-05,linear_resample,4,32,64,3,16,512,4:0.03125,3145728,833442816.0
depth_radon_stages4_r16_lr3e-05_seed3417,new_pending_gpu_acceptance,3417,3e-05,radon,4,32,64,3,16,512,4:0.03125,3145728,822652576.0
depth_linear_resample_stages4_r16_lr6e-05_seed3417,new_pending_gpu_acceptance,3417,6e-05,linear_resample,4,32,64,3,16,512,4:0.03125,3145728,833442816.0
depth_radon_stages4_r16_lr6e-05_seed3417,new_pending_gpu_acceptance,3417,6e-05,radon,4,32,64,3,16,512,4:0.03125,3145728,822652576.0
depth_linear_resample_stages4_r16_lr3e-05_seed3418,new_pending_gpu_acceptance,3418,3e-05,linear_resample,4,32,64,3,16,512,4:0.03125,3145728,833442816.0
depth_radon_stages4_r16_lr3e-05_seed3418,new_pending_gpu_acceptance,3418,3e-05,radon,4,32,64,3,16,512,4:0.03125,3145728,822652576.0
depth_linear_resample_stages4_r16_lr6e-05_seed3418,new_pending_gpu_acceptance,3418,6e-05,linear_resample,4,32,64,3,16,512,4:0.03125,3145728,833442816.0
depth_radon_stages4_r16_lr6e-05_seed3418,new_pending_gpu_acceptance,3418,6e-05,radon,4,32,64,3,16,512,4:0.03125,3145728,822652576.0
depth_linear_resample_stages23_r16_lr3e-05_seed3416,new_pending_gpu_acceptance,3416,3e-05,linear_resample,2+3,32,64,3,16,512,2:0.125;3:0.0625,6291456,2614876160.0
depth_radon_stages23_r16_lr3e-05_seed3416,new_pending_gpu_acceptance,3416,3e-05,radon,2+3,32,64,3,16,512,2:0.125;3:0.0625,6291456,2161432192.0
