seed_subset,rho,control,branch,svd_minus_control_pp,ci95_low_pp,ci95_high_pp
3416,1/16,no_bridge,cfp,2.681988107853528,-1.9410083254917634,7.414315610029276
3416,1/16,no_bridge,oct,4.0787873390847,-0.9515772227283028,9.330738361213903
3416,1/16,no_bridge,mean,3.3803877234691138,-0.2907507014717954,7.108335433903059
3416,1/16,learned,cfp,-0.6489595467542131,-4.789867931282446,3.5098860825973586
3416,1/16,learned,oct,-0.9689093693893924,-5.8178789971476474,3.8436489787534653
3416,1/16,learned,mean,-0.8089344580718028,-4.2368345929928255,2.667949023021786
3416,1/16,svd_self,cfp,2.681988107853528,-1.9410083254917634,7.414315610029276
3416,1/16,svd_self,oct,4.0787873390847,-0.9515772227283028,9.330738361213903
3416,1/16,svd_self,mean,3.3803877234691138,-0.2907507014717954,7.108335433903059
3416,1/16,svd_scrambled,cfp,1.4747716498179964,-2.301376337713827,5.358121851893128
3416,1/16,svd_scrambled,oct,3.508476546482331,-0.6873176065008618,7.870609067284291
3416,1/16,svd_scrambled,mean,2.4916240981501634,-0.4696379145434225,5.566293377146894
3416,1/16,svd_resample,cfp,2.681988107853528,-1.9410083254917634,7.414315610029276
3416,1/16,svd_resample,oct,4.0787873390847,-0.9515772227283028,9.330738361213903
3416,1/16,svd_resample,mean,3.3803877234691138,-0.2907507014717954,7.108335433903059
3416,1/16,qr_radon,cfp,2.681988107853528,-1.9410083254917634,7.414315610029276
3416,1/16,qr_radon,oct,4.0787873390847,-0.9515772227283028,9.330738361213903
3416,1/16,qr_radon,mean,3.3803877234691138,-0.2907507014717954,7.108335433903059
3416,1/8,no_bridge,cfp,5.4056521937634106,0.5096965328890876,10.2083920414829
3416,1/8,no_bridge,oct,6.140134199856684,-0.32219154103369035,12.639324848385321
3416,1/8,no_bridge,mean,5.772893196810047,1.6352355263724083,9.904555937014253
3416,1/8,learned,cfp,2.655006865936882,-1.5562760110374574,6.843455916371602
3416,1/8,learned,oct,0.7431529844617035,-3.8821852103086125,5.402477512576607
3416,1/8,learned,mean,1.6990799251992927,-1.9665998721118243,5.408350303903827
3416,1/8,svd_self,cfp,5.4056521937634106,0.5096965328890876,10.2083920414829
3416,1/8,svd_self,oct,6.140134199856684,-0.32219154103369035,12.639324848385321
3416,1/8,svd_self,mean,5.772893196810047,1.6352355263724083,9.904555937014253
3416,1/8,svd_scrambled,cfp,4.054239145322558,0.0,8.117956940639653
3416,1/8,svd_scrambled,oct,2.0613468607719843,-2.0586481904675513,6.3184564337791835
3416,1/8,svd_scrambled,mean,3.057793003047271,-0.194085284458028,6.308894865022199
3416,1/8,svd_resample,cfp,2.7069914110721016,-1.6806225658525031,7.0394653924846065
3416,1/8,svd_resample,oct,5.81230696073729,-0.3677444930482777,12.217311238734526
3416,1/8,svd_resample,mean,4.259649185904696,0.13015543128197965,8.39424365266085
3416,1/8,qr_radon,cfp,1.0861825224103394,-3.0369371052020533,5.272319803162441
3416,1/8,qr_radon,oct,2.0219892177884446,-2.3885913031922987,6.699907470103564
3416,1/8,qr_radon,mean,1.554085870099392,-1.801430447017892,5.0724406533761215
3416,1/4,no_bridge,cfp,6.082592659773867,0.2852095211614523,11.890137764327939
3416,1/4,no_bridge,oct,4.424398438117006,-1.97935265330612,11.025136945648562
3416,1/4,no_bridge,mean,5.253495548945436,0.576795555204464,9.979615562346119
3416,1/4,learned,cfp,3.06836338823544,-1.6842397104363045,7.866453835730673
3416,1/4,learned,oct,-0.6437628206775181,-5.6741146905726,4.350250615959103
3416,1/4,learned,mean,1.212300283778961,-3.328022673366451,5.81082048761395
3416,1/4,svd_self,cfp,6.082592659773867,0.2852095211614523,11.890137764327939
3416,1/4,svd_self,oct,4.424398438117006,-1.97935265330612,11.025136945648562
3416,1/4,svd_self,mean,5.253495548945436,0.576795555204464,9.979615562346119
3416,1/4,svd_scrambled,cfp,4.495869671588515,-0.08352474486102622,9.279410460557331
3416,1/4,svd_scrambled,oct,-0.950986659469788,-5.446358636728855,3.4916671873203886
3416,1/4,svd_scrambled,mean,1.7724415060593635,-2.148678499565084,5.81738761340452
3416,1/4,svd_resample,cfp,3.7756305827251646,-1.3670600544705074,8.998660636540142
3416,1/4,svd_resample,oct,3.3683314449568402,-2.240774834192049,8.983691826685845
3416,1/4,svd_resample,mean,3.571981013841002,-0.5522546873087073,7.866038575964293
3416,1/4,qr_radon,cfp,0.7212810029711414,-3.5127847499807596,4.991150460497883
3416,1/4,qr_radon,oct,-2.71719487083264,-7.154328205103111,1.836813808877636
3416,1/4,qr_radon,mean,-0.9979569339307492,-4.915270392096634,3.0027163048125325
3417,1/16,no_bridge,cfp,4.343326219769617,-0.6590981203326914,9.373005103706964
3417,1/16,no_bridge,oct,4.375945732293374,-0.691922419557231,9.51414757288802
3417,1/16,no_bridge,mean,4.359635976031495,0.573088521615193,8.087249171770464
3417,1/16,learned,cfp,1.2990720737199535,-2.7956126588889534,5.40178227578164
3417,1/16,learned,oct,2.7980436750642212,-2.3451363960708522,8.031792077364129
3417,1/16,learned,mean,2.0485578743920874,-1.4789254534174023,5.592839385207594
3417,1/16,svd_self,cfp,4.343326219769617,-0.6590981203326914,9.373005103706964
3417,1/16,svd_self,oct,4.375945732293374,-0.691922419557231,9.51414757288802
3417,1/16,svd_self,mean,4.359635976031495,0.573088521615193,8.087249171770464
3417,1/16,svd_scrambled,cfp,0.3035177815470802,-4.046951620467211,4.692465593790602
3417,1/16,svd_scrambled,oct,5.064984305769937,0.09046919103176218,9.807518312830872
3417,1/16,svd_scrambled,mean,2.6842510436585085,-0.710372657491832,6.079011298940475
3417,1/16,svd_resample,cfp,4.343326219769617,-0.6590981203326914,9.373005103706964
3417,1/16,svd_resample,oct,4.375945732293374,-0.691922419557231,9.51414757288802
3417,1/16,svd_resample,mean,4.359635976031495,0.573088521615193,8.087249171770464
3417,1/16,qr_radon,cfp,4.343326219769617,-0.6590981203326914,9.373005103706964
3417,1/16,qr_radon,oct,4.375945732293374,-0.691922419557231,9.51414757288802
3417,1/16,qr_radon,mean,4.359635976031495,0.573088521615193,8.087249171770464
3417,1/8,no_bridge,cfp,5.985289069461164,1.0583168519854773,10.93138734421533
3417,1/8,no_bridge,oct,3.6998919677473707,-2.553039892218876,9.907488030158017
3417,1/8,no_bridge,mean,4.8425905186042675,0.6179679980700381,9.055566715930324
3417,1/8,learned,cfp,3.9549378864670137,-0.48737648167695263,8.52683174736257
3417,1/8,learned,oct,2.056255830330267,-3.072877003402526,7.227330169967917
3417,1/8,learned,mean,3.0055968583986403,-1.0900443945957108,7.246733204449794
3417,1/8,svd_self,cfp,5.985289069461164,1.0583168519854773,10.93138734421533
3417,1/8,svd_self,oct,3.6998919677473707,-2.553039892218876,9.907488030158017
3417,1/8,svd_self,mean,4.8425905186042675,0.6179679980700381,9.055566715930324
3417,1/8,svd_scrambled,cfp,4.2939595505451456,0.2957777526672479,8.54361800325583
3417,1/8,svd_scrambled,oct,-0.017592907414998304,-4.045144042906802,4.020098192421091
3417,1/8,svd_scrambled,mean,2.138183321565074,-1.1550842824301413,5.521683407982108
3417,1/8,svd_resample,cfp,5.985289069461164,1.0583168519854773,10.93138734421533
3417,1/8,svd_resample,oct,3.6998919677473707,-2.553039892218876,9.907488030158017
3417,1/8,svd_resample,mean,4.8425905186042675,0.6179679980700381,9.055566715930324
3417,1/8,qr_radon,cfp,0.7629163659826022,-3.0724475375730074,4.64722425257672
3417,1/8,qr_radon,oct,4.4156238887130606,-0.3360947157929569,9.25382013026582
3417,1/8,qr_radon,mean,2.5892701273478314,-0.7755826509355531,5.878949186399761
3417,1/4,no_bridge,cfp,6.067969731860545,0.27618921614699354,11.813060762829496
3417,1/4,no_bridge,oct,4.384559356994922,-1.7049329148460426,10.491762013200916
3417,1/4,no_bridge,mean,5.226264544427734,0.7276148055729464,9.649497704822364
3417,1/4,learned,cfp,1.0094645226902177,-3.3041634301319727,5.210108319520539
