seed,method,rho,channel_rank,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,cfp_gain_vs_baseline_pp,oct_gain_vs_baseline_pp,mean_gain_vs_baseline_pp,best_epoch,stop_epoch,total_parameters,bridge_stored,bridge_effective,gpu_minutes,peak_process_mib,directory,summary_sha256
3416,No bridge,shared baseline,,,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,44338564,0,0,3.8408633138333244,7796,/data/mengh/RadonBridge/runs/2026_09_04_23_54_10/seed3416_bb6e-05_independent,b3544768148715f522c2d3a35989d94cb42d5b79e3f48e0e72d70115c738a215
3416,Learned CM,1/16,,512,70.22132796780684,70.18315018315018,70.2022390754785,3.3309476546077406,5.047696708474092,4.189322181540916,11,17,64261508,19922944,19922944,8.435505578183378,8232,/data/mengh/RadonBridge/runs/2026_09_04_23_54_10/seed3416_bb6e-05_rho1_16,a1ca244ec093bb9d4719fffcabbdb7f4ab305d1cafef79124d2088ac0749f308
3416,SVD / Radon,1/16,16,512,69.57236842105263,69.21424081376078,69.3933046174067,2.6819881078535275,4.078787339084698,3.380387723469113,9,15,47484292,3145728,3145728,4.510786068383277,7906,/data/mengh/RadonBridge/runs/2026_09_05_01_29_50/seed3416_bb6e-05_rho1_16_svd,9c1eaaf9f8554ae763056bc885b6b021e4a9febbada6d4164e3036dc3a2baa90
3416,SVD / self only,1/16,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,47484292,3145728,1572864,2.424391758849985,7906,/data/mengh/RadonBridge/runs/2026_09_05_09_29_16/seed3416_svd_self_rho1_16,bf6b2e0042f9e7b2a51d8471a992474e06ff6166a65c60641b1825fcaf6c59f6
3416,SVD / scrambled Radon,1/16,16,512,68.09759677123463,65.70576426727845,66.90168051925654,1.207216458035532,0.5703107926023705,0.8887636253189584,7,13,47484292,3145728,3145728,3.786984322550052,7906,/data/mengh/RadonBridge/runs/2026_09_05_09_29_16/seed3416_svd_scrambled_rho1_16,7972dbc19e2dcdb73e84d028043b219bc2938af83d2414ce87a1e9b2750e1b4f
3416,SVD / linear resampling,1/16,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,47484292,3145728,3145728,2.318561345333243,7848,/data/mengh/RadonBridge/runs/2026_09_05_09_29_16/seed3416_svd_resample_rho1_16,6128637074ada80cfd61b6bf0edd74894144ac7f2cf28e20592da4f473eff1be
3416,Random QR / Radon,1/16,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,47484292,3145728,3145728,2.4024608252000084,7906,/data/mengh/RadonBridge/runs/2026_09_05_09_29_16/seed3416_qr_radon_rho1_16,727170824911c83c3e7702bb47674e718ed32c99aeecb6948a782afd4e74551e
3416,Learned CM,1/8,,1024,69.64102564102564,70.53243469007107,70.08673016554835,2.7506453278265326,5.396981215394987,4.07381327161076,16,22,90475908,46137344,46137344,19.04528377956667,8662,/data/mengh/RadonBridge/runs/2026_09_04_23_54_10/seed3416_bb6e-05_rho1_8,f56ff37adedb771932a4a36c2fc9cf13a6014371f42bdc10f99066904739b5b4
3416,SVD / Radon,1/8,32,1024,72.29603250696252,71.27558767453277,71.78581009074765,5.405652193763416,6.140134199856689,5.77289319681006,11,17,56921476,12582912,12582912,5.076886907166651,8012,/data/mengh/RadonBridge/runs/2026_09_05_01_29_50/seed3416_bb6e-05_rho1_8_svd,b3dcc277143458333d0ef8a681a89608401062d1ebe6b321df17c181fed91602
3416,SVD / self only,1/8,32,1024,66.8903803131991,65.13545347467608,66.01291689393759,0.0,0.0,0.0,0,8,56921476,12582912,6291456,2.512841679666599,8012,/data/mengh/RadonBridge/runs/2026_09_05_09_03_55/seed3416_svd_self,ef4ba83a770f55d781e9234b824f9ab0b45c563634363fef504525c898016b02
