id,protocol,family,pairs,estimable,missing,difference_pp,ci95_pp,simultaneous_ci95_pp,bootstrap_sd_pp,max_abs_t_critical,classification
branch_equal_parameters_h512_k1,branch,direct28,"[[""radon_M32_S64_k1_r16"", ""linear_resample_M32_S64_k1_r16""]]",True,[],1.0133414932415992,"[0.028222173367019616, 1.9988785102017768]","[-0.427383171945948, 2.4540661584291463]",0.505204075365371,2.8517677022806946,unresolved
branch_equal_parameters_h512_k3,branch,direct28,"[[""radon_M32_S64_k3_r16"", ""linear_resample_M32_S64_k3_r16""], [""radon_M16_S64_k3_r32"", ""linear_resample_M16_S64_k3_r32""], [""radon_M64_S64_k3_r8"", ""linear_resample_M64_S64_k3_r8""], [""radon_M32_S32_k3_r16"", ""linear_resample_M32_S32_k3_r16""], [""radon_M32_S128_k3_r16"", ""linear_resample_M32_S128_k3_r16""]]",True,[],1.9708640210427808,"[0.6807637324206336, 3.295919866532332]","[0.08132876804119205, 3.8603992740443696]",0.6625838603510508,2.8517677022806946,unresolved
branch_equal_parameters_h512_k5,branch,direct28,"[[""radon_M32_S64_k5_r16"", ""linear_resample_M32_S64_k5_r16""]]",True,[],2.7035074874084444,"[0.5501390503918893, 4.886447773430287]","[-0.4645530416104302, 5.871568016427319]",1.1109111469651702,2.8517677022806946,unresolved
branch_equal_parameters_h1024_k1,branch,direct28,"[[""radon_M32_S64_k1_r32"", ""linear_resample_M32_S64_k1_r32""]]",True,[],2.037938188038792,"[0.2932669507292016, 3.783262918617985]","[-0.4957186693739404, 4.571595045451525]",0.8884513473472774,2.8517677022806946,unresolved
branch_equal_parameters_h1024_k3,branch,direct28,"[[""radon_M32_S64_k3_r32"", ""linear_resample_M32_S64_k3_r32""], [""radon_M16_S64_k3_r64"", ""linear_resample_M16_S64_k3_r64""], [""radon_M64_S64_k3_r16"", ""linear_resample_M64_S64_k3_r16""], [""radon_M32_S32_k3_r32"", ""linear_resample_M32_S32_k3_r32""], [""radon_M32_S128_k3_r32"", ""linear_resample_M32_S128_k3_r32""]]",True,[],2.9963610597667483,"[0.9229784682432345, 5.072776353997502]","[-0.007142136395792864, 5.999864255929289]",1.0532075223940913,2.8517677022806946,unresolved
branch_equal_parameters_h1024_k5,branch,direct28,"[[""radon_M32_S64_k5_r32"", ""linear_resample_M32_S64_k5_r32""]]",True,[],3.140411510763485,"[0.8498416094200275, 5.401434604360486]","[-0.18067348464472976, 6.4614965061717005]",1.1645706600689056,2.8517677022806946,unresolved
branch_equal_compute_budget512,branch,direct28,"[[""radon_M16_S64_k3_r32"", ""linear_resample_M16_S64_k3_r31""], [""radon_M32_S32_k3_r23"", ""linear_resample_M32_S32_k3_r22""], [""radon_M32_S64_k1_r27"", ""linear_resample_M32_S64_k1_r25""]]",True,[],1.8188818503911328,"[0.018791786662532322, 3.659120805068193]","[-0.8411810945581997, 4.478944795340466]",0.9327768677729091,2.8517677022806946,unresolved
branch_equal_compute_budget512_k3_minus_k1,branch,direct28,"[[""radon_M32_S64_k3_r16"", ""radon_M32_S64_k1_r27""]]",True,[],1.0294789457802231,"[-0.1257488878730471, 2.191905473478985]","[-0.6381758259184793, 2.6971337174789256]",0.5847793178823785,2.8517677022806946,unresolved
branch_equal_compute_budget1024,branch,direct28,"[[""radon_M16_S64_k3_r64"", ""linear_resample_M16_S64_k3_r63""], [""radon_M32_S32_k3_r45"", ""linear_resample_M32_S32_k3_r45""], [""radon_M32_S64_k1_r54"", ""linear_resample_M32_S64_k1_r53""], [""radon_M32_S64_k3_r32"", ""linear_resample_M32_S64_k3_r31""], [""radon_M32_S64_k5_r25"", ""linear_resample_M32_S64_k5_r25""], [""radon_M32_S128_k3_r22"", ""linear_resample_M32_S128_k3_r22""], [""radon_M64_S64_k3_r16"", ""linear_resample_M64_S64_k3_r16""]]",True,[],3.0723361144829595,"[1.054352994654313, 5.08000906993132]","[0.14708882366057674, 5.997583405305342]",1.0257663302950388,2.8517677022806946,unresolved
branch_equal_compute_budget1024_k3_minus_k1,branch,direct28,"[[""radon_M32_S64_k3_r32"", ""radon_M32_S64_k1_r54""]]",True,[],-0.17095993227769846,"[-1.5367352085107817, 1.2084316659540841]","[-2.174543518855874, 1.8326236543004772]",0.7025760145105137,2.8517677022806946,unresolved
