protocol,structure,backbone_lr,metric,count,mean_percent,sample_sd_pp
branch,linear_resample_M32_S64_k3_r16,3e-05,cfp_macro_f1,3,65.53866899595924,1.54949156029879
branch,linear_resample_M32_S64_k3_r16,3e-05,oct_macro_f1,3,64.5035206357703,0.5472698919780355
branch,linear_resample_M32_S64_k3_r16,3e-05,branch_mean_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M32_S64_k3_r16,3e-05,primary_macro_f1,3,65.02109481586477,0.9977117050067115
branch,linear_resample_M32_S64_k3_r16,3e-05,late_fusion_macro_f1,3,67.66376891880408,3.4586398222949715
branch,linear_resample_M32_S64_k3_r16,6e-05,cfp_macro_f1,3,65.85846867439663,1.7416322271615363
branch,linear_resample_M32_S64_k3_r16,6e-05,oct_macro_f1,3,64.49915891595192,0.5510860907752677
branch,linear_resample_M32_S64_k3_r16,6e-05,branch_mean_macro_f1,3,65.17881379517426,1.0371014482978715
branch,linear_resample_M32_S64_k3_r16,6e-05,primary_macro_f1,3,65.17881379517426,1.0371014482978715
branch,linear_resample_M32_S64_k3_r16,6e-05,late_fusion_macro_f1,3,67.89295090041594,3.5679780802973124
branch,radon_M32_S64_k3_r16,3e-05,cfp_macro_f1,3,67.04184016598639,3.393807871315006
branch,radon_M32_S64_k3_r16,3e-05,oct_macro_f1,3,65.95670911698177,1.6570747953316294
branch,radon_M32_S64_k3_r16,3e-05,branch_mean_macro_f1,3,66.49927464148408,2.250453392781434
branch,radon_M32_S64_k3_r16,3e-05,primary_macro_f1,3,66.49927464148408,2.250453392781434
branch,radon_M32_S64_k3_r16,3e-05,late_fusion_macro_f1,3,66.5465842147962,2.435569796716539
branch,radon_M32_S64_k3_r16,6e-05,cfp_macro_f1,3,68.89304932574159,0.6909835703461047
branch,radon_M32_S64_k3_r16,6e-05,oct_macro_f1,3,68.77658284356426,0.3790664739981005
branch,radon_M32_S64_k3_r16,6e-05,branch_mean_macro_f1,3,68.83481608465293,0.5154970290829585
branch,radon_M32_S64_k3_r16,6e-05,primary_macro_f1,3,68.83481608465293,0.5154970290829585
branch,radon_M32_S64_k3_r16,6e-05,late_fusion_macro_f1,3,69.52420463068876,2.850800456365927
branch,linear_resample_M32_S64_k3_r31,3e-05,cfp_macro_f1,3,66.3867191446207,2.328469930648052
branch,linear_resample_M32_S64_k3_r31,3e-05,oct_macro_f1,3,65.05660394216072,0.832430483674696
branch,linear_resample_M32_S64_k3_r31,3e-05,branch_mean_macro_f1,3,65.72166154339071,1.5787181215056778
