directory,summary_sha256,source_id,host,mode,seed,backbone_lr,host_best_epoch,branch_f1_nonadditivity_pp,interpretation
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769655466527779/switch_branch_mmtm_hidden256_lr3e-05_seed3416_augment_radon,dc14cdf742619aeaae39a24550e6cec8a1d3aba9e8326a43de32ae3c801c4ce0,branch_mmtm_hidden256_lr3e-05_seed3416_augment_radon,mmtm_hidden256,radon,3416,3e-05,0,-3.2772151653067,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769655466527779/switch_branch_mmtm_hidden256_lr3e-05_seed3416_augment_linear_resample,253b942aa913f378f854dda2d71b281a42c9a330e0d7a2ab2672fe24b4cf3fff,branch_mmtm_hidden256_lr3e-05_seed3416_augment_linear_resample,mmtm_hidden256,linear_resample,3416,3e-05,0,0.0,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769669361391985/switch_branch_mmtm_hidden256_lr3e-05_seed3417_augment_radon,f74f8b37f3544ca353dd81056d5bad9d3fc8a62aab70a292a0cc675bf66c714d,branch_mmtm_hidden256_lr3e-05_seed3417_augment_radon,mmtm_hidden256,radon,3417,3e-05,0,-1.3480227389093073,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769669361391985/switch_branch_mmtm_hidden256_lr3e-05_seed3417_augment_linear_resample,a863c80a297f063738f106ee15d435c8022d417766adb964ee2987dceccdce2c,branch_mmtm_hidden256_lr3e-05_seed3417_augment_linear_resample,mmtm_hidden256,linear_resample,3417,3e-05,0,0.0,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769683241002766/switch_branch_mmtm_hidden256_lr3e-05_seed3418_augment_radon,e30e0c08a233620ca1edf084c8b227ca4a421746a43e865a504a8485eda5062c,branch_mmtm_hidden256_lr3e-05_seed3418_augment_radon,mmtm_hidden256,radon,3418,3e-05,0,-5.39474379208805,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769683241002766/switch_branch_mmtm_hidden256_lr3e-05_seed3418_augment_linear_resample,987205fff2e9399930de3647b53052c762e27949c00dc4e57db38fab67a2e51a,branch_mmtm_hidden256_lr3e-05_seed3418_augment_linear_resample,mmtm_hidden256,linear_resample,3418,3e-05,0,0.0,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769698181534070/switch_branch_mmtm_hidden256_lr6e-05_seed3416_augment_radon,94df8dd32abb18bc9cf4a47a85431cc720fa14841afe78f746ee8e6f7a4822fa,branch_mmtm_hidden256_lr6e-05_seed3416_augment_radon,mmtm_hidden256,radon,3416,6e-05,0,-3.8097755799872175,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769698181534070/switch_branch_mmtm_hidden256_lr6e-05_seed3416_augment_linear_resample,52dfcac9241fd6925b91f4e75bdc5c070b0836e1eb6871089f70b565aa367a5a,branch_mmtm_hidden256_lr6e-05_seed3416_augment_linear_resample,mmtm_hidden256,linear_resample,3416,6e-05,0,0.0,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769713122944286/switch_branch_mmtm_hidden256_lr6e-05_seed3417_augment_radon,977cabc193146a8aa42b088129716ee462ea62d8da2531b027fddbee91b9d54f,branch_mmtm_hidden256_lr6e-05_seed3417_augment_radon,mmtm_hidden256,radon,3417,6e-05,0,-2.668904774107091,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769713122944286/switch_branch_mmtm_hidden256_lr6e-05_seed3417_augment_linear_resample,ac7ae98b853f39a87c75b9aee2b767d948ea7a8003732b50eabb38061e228e86,branch_mmtm_hidden256_lr6e-05_seed3417_augment_linear_resample,mmtm_hidden256,linear_resample,3417,6e-05,0,0.0,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769726996099015/switch_branch_mmtm_hidden256_lr6e-05_seed3418_augment_radon,65877cf81a6d210d7f7a008497cab0aedf626fe607160e3223210495c3796a06,branch_mmtm_hidden256_lr6e-05_seed3418_augment_radon,mmtm_hidden256,radon,3418,6e-05,0,0.49760215056987533,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769726996099015/switch_branch_mmtm_hidden256_lr6e-05_seed3418_augment_linear_resample,c4bcbc5b640abdaf50e08a855ce176e94ea053168b09e702803c8f9b9ad4a886,branch_mmtm_hidden256_lr6e-05_seed3418_augment_linear_resample,mmtm_hidden256,linear_resample,3418,6e-05,0,-0.032825726027752467,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769741990382067/switch_branch_attention_d256_lr3e-05_seed3416_augment_radon,99f14f57f6e744340ab67ab31e99084ca36d68a311559dc4a3f618a0aca1805f,branch_attention_d256_lr3e-05_seed3416_augment_radon,attention_d256,radon,3416,3e-05,0,1.7324996204757497,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769741990382067/switch_branch_attention_d256_lr3e-05_seed3416_augment_linear_resample,5bd3955899a15d341442c376d09e3747a98f571097d642e5cafe2c6ce6fedb04,branch_attention_d256_lr3e-05_seed3416_augment_linear_resample,attention_d256,linear_resample,3416,3e-05,0,0.9955976688381867,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769755859612217/switch_branch_attention_d256_lr3e-05_seed3417_augment_radon,adec1732ff1d33c44d622316c72a9510a46f92e5b22c92042f6cade3e28c1254,branch_attention_d256_lr3e-05_seed3417_augment_radon,attention_d256,radon,3417,3e-05,0,0.7816762910225847,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769755859612217/switch_branch_attention_d256_lr3e-05_seed3417_augment_linear_resample,70036334e679573b061ed6deb3e5163d02936b8aec3acd3e6b1bc792541f6d2c,branch_attention_d256_lr3e-05_seed3417_augment_linear_resample,attention_d256,linear_resample,3417,3e-05,0,0.0,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769769728096097/switch_branch_attention_d256_lr3e-05_seed3418_augment_radon,f8fc2f800dc6e6b15d7333d68f17c8f6c43a3b794ba4915e090b03dc973c9357,branch_attention_d256_lr3e-05_seed3418_augment_radon,attention_d256,radon,3418,3e-05,4,2.022345585512852,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769769728096097/switch_branch_attention_d256_lr3e-05_seed3418_augment_linear_resample,881d14e2b40cc7cb34a5bf05f90970f768ae19355ff7a1c944ae7f3cd63a840c,branch_attention_d256_lr3e-05_seed3418_augment_linear_resample,attention_d256,linear_resample,3418,3e-05,4,-0.2884729174135856,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769783611019174/switch_branch_attention_d256_lr6e-05_seed3416_augment_radon,2e7efd9c2226279f6502bf3be5894b48668f67f2e2424848ba5b82f023dbf971,branch_attention_d256_lr6e-05_seed3416_augment_radon,attention_d256,radon,3416,6e-05,7,1.586255999324493,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769783611019174/switch_branch_attention_d256_lr6e-05_seed3416_augment_linear_resample,28004da7072cff83a81fef1b0b2f07936a76c64d190f82b3a1410fd43f62e8cc,branch_attention_d256_lr6e-05_seed3416_augment_linear_resample,attention_d256,linear_resample,3416,6e-05,7,-1.3562127923599263,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769797533467671/switch_branch_attention_d256_lr6e-05_seed3417_augment_radon,0e357c92821d6f0911442636c5ec85ed34149eac4b9a160748a1be050b15833c,branch_attention_d256_lr6e-05_seed3417_augment_radon,attention_d256,radon,3417,6e-05,0,-1.5594286689380255,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769797533467671/switch_branch_attention_d256_lr6e-05_seed3417_augment_linear_resample,009e7a2cc14297a13052dfbd70e75d6182d721a80397d3e5de766addff7920e4,branch_attention_d256_lr6e-05_seed3417_augment_linear_resample,attention_d256,linear_resample,3417,6e-05,0,0.06359683762700286,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769811408969257/switch_branch_attention_d256_lr6e-05_seed3418_augment_radon,a787bbef0096629c163bd064d989a106a810861963dccb981bc1405095be5c0f,branch_attention_d256_lr6e-05_seed3418_augment_radon,attention_d256,radon,3418,6e-05,17,13.44603189550471,Nonadditivity of F1; not proof of biological or causal synergy
/data/mengh/RadonBridge/runs/2026_09_06_14_05_08/dependency_supplement/batches/component_diagnostics_1788769811408969257/switch_branch_attention_d256_lr6e-05_seed3418_augment_linear_resample,f6261d09b99ecc6ce91adf8a39def54859765a183a0dcd9d34b4d3432bdfaaf4,branch_attention_d256_lr6e-05_seed3418_augment_linear_resample,attention_d256,linear_resample,3418,6e-05,17,0.32779629519586706,Nonadditivity of F1; not proof of biological or causal synergy
