id,family,difference_pp,ci95_pp,simultaneous_ci95_pp,classification
frozen_radon_minus_linear_resample,frozen2,1.4827297303812124,"[-0.7218598307314467, 3.6784282161793183]","[-0.7206801718148301, 3.686139632577255]",unresolved
frozen_radon_minus_parent,frozen2,1.4827297303812124,"[-0.7218598307314467, 3.6784282161793183]","[-0.7206801718148301, 3.686139632577255]",unresolved
mmtm_hidden256_radon_both_on_minus_host_only,component8,19.46201837362276,"[16.618505195380013, 22.257174130669217]","[15.642695903885837, 23.281340843359686]",supports_substantive_improvement
mmtm_hidden256_radon_both_on_minus_new_only,component8,-0.1019742280187188,"[-0.6835678434397562, 0.5031162177302115]","[-0.9108890366210554, 0.7069405805836178]",supports_practical_similarity
mmtm_hidden256_linear_resample_both_on_minus_host_only,component8,0.5487723299483065,"[0.19888147164220302, 0.9129031268177608]","[0.0662870959472524, 1.0312575639493606]",unresolved
mmtm_hidden256_linear_resample_both_on_minus_new_only,component8,0.0,"[-2.9462537487001965e-15, 2.973633274765458e-15]",,undefined_zero_variance
attention_d256_radon_both_on_minus_host_only,component8,20.466996796312863,"[17.71042174780493, 23.10909590715648]","[16.772233180391705, 24.16176041223402]",supports_substantive_improvement
attention_d256_radon_both_on_minus_new_only,component8,5.698701366799263,"[4.3471244996873, 7.032245314487316]","[3.881403108728714, 7.515999624869812]",supports_substantive_improvement
attention_d256_linear_resample_both_on_minus_host_only,component8,0.632659575081604,"[-0.14245652483397092, 1.4123427950375902]","[-0.4288854987861168, 1.6942046489493248]",unresolved
attention_d256_linear_resample_both_on_minus_new_only,component8,4.105864891941529,"[2.771830258589079, 5.48590921830935]","[2.2475827403555386, 5.96414704352752]",supports_substantive_improvement
