id,seed,arm,rho,r,h,cfp,oct,mean,best_epoch,stop_epoch,peak_reserved_mib
seed3416_no_bridge,3416,no_bridge,,,,66.8903803131991,65.13545347467608,66.01291689393759,0,8,7364.0
seed3416_svd_radon_rho1_16,3416,svd_radon,0.0625,16,512,69.57236842105263,69.21424081376078,69.3933046174067,9,15,7474.0
seed3416_qr_radon_rho1_16,3416,qr_radon,0.0625,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0,8,7474.0
seed3416_svd_radon_rho1_8,3416,svd_radon,0.125,32,1024,72.29603250696252,71.27558767453277,71.78581009074765,11,17,7580.0
seed3416_qr_radon_rho1_8,3416,qr_radon,0.125,32,1024,71.20984998455218,69.25359845674433,70.23172422064826,7,13,7580.0
seed3416_svd_radon_rho1_4,3416,svd_radon,0.25,64,2048,72.97297297297297,69.55985191279309,71.26641244288302,9,15,7712.0
seed3416_qr_radon_rho1_4,3416,qr_radon,0.25,64,2048,72.25169197000183,72.27704678362574,72.26436937681379,9,15,7712.0
seed3417_no_bridge,3417,no_bridge,,,,63.847637745842235,64.1875542163174,64.01759598107981,0,8,7364.0
seed3417_svd_radon_rho1_16,3417,svd_radon,0.0625,16,512,68.19096396561186,68.56349994861077,68.37723195711132,16,22,7474.0
seed3417_qr_radon_rho1_16,3417,qr_radon,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,7474.0
seed3417_svd_radon_rho1_8,3417,svd_radon,0.125,32,1024,69.8329268153034,67.88744618406477,68.86018649968409,10,16,7580.0
seed3417_qr_radon_rho1_8,3417,qr_radon,0.125,32,1024,69.07001044932079,63.47182229535171,66.27091637233625,6,12,7580.0
seed3417_svd_radon_rho1_4,3417,svd_radon,0.25,64,2048,69.91560747770278,68.57211357331232,69.24386052550756,12,18,7712.0
seed3417_qr_radon_rho1_4,3417,qr_radon,0.25,64,2048,68.56349994861077,68.23744292237444,68.4004714354926,10,16,7712.0
seed3418_no_bridge,3418,no_bridge,,,,65.87798892883639,64.1875542163174,65.03277157257689,0,8,7364.0
seed3418_svd_radon_rho1_16,3418,svd_radon,0.0625,16,512,68.91581559056026,68.55200776832125,68.73391167944075,14,20,7474.0
seed3418_qr_radon_rho1_16,3418,qr_radon,0.0625,16,512,65.53424657534246,67.22636319015604,66.38030488274924,9,15,7474.0
seed3418_svd_radon_rho1_8,3418,svd_radon,0.125,32,1024,68.09759677123463,67.41882223445239,67.75820950284351,14,20,7580.0
seed3418_qr_radon_rho1_8,3418,qr_radon,0.125,32,1024,67.67481693508523,67.41882223445239,67.54681958476881,14,20,7580.0
seed3418_svd_radon_rho1_4,3418,svd_radon,0.25,64,2048,68.22002923976609,66.81766186227408,67.51884555102009,6,12,7712.0
seed3418_qr_radon_rho1_4,3418,qr_radon,0.25,64,2048,67.56164383561645,67.90210827901879,67.73187605731762,12,18,7712.0
seed3416_svd_rho1_16_s_permuted,3416,svd_s_permuted,0.0625,16,512,69.25359845674433,68.57211357331232,68.91285601502832,9,15,7424.0
seed3416_svd_rho1_8_s_permuted,3416,svd_s_permuted,0.125,32,1024,71.27558767453277,72.63232390105814,71.95395578779545,14,20,7532.0
seed3416_svd_rho1_4_s_permuted,3416,svd_s_permuted,0.25,64,2048,72.92847997073349,71.61643835616438,72.27245916344893,9,15,7696.0
seed3416_qr_rho1_16_s_permuted,3416,qr_s_permuted,0.0625,16,512,66.70798328972134,65.51535087719299,66.11166708345716,7,8,7424.0
seed3416_qr_rho1_8_s_permuted,3416,qr_s_permuted,0.125,32,1024,69.10123315170634,64.5266221537408,66.81392765272358,10,16,7532.0
seed3416_qr_rho1_4_s_permuted,3416,qr_s_permuted,0.25,64,2048,69.24798209861744,72.63482280431433,70.94140245146588,4,10,7696.0
seed3417_svd_rho1_16_s_permuted,3417,svd_s_permuted,0.0625,16,512,67.77262048020171,62.30444789755932,65.03853418888052,6,12,7424.0
seed3417_svd_rho1_8_s_permuted,3417,svd_s_permuted,0.125,32,1024,70.2648401826484,68.20695644225057,69.23589831244948,12,18,7532.0
seed3417_svd_rho1_4_s_permuted,3417,svd_s_permuted,0.25,64,2048,68.47710330138446,68.31746981711879,68.39728655925163,9,15,7696.0
seed3417_qr_rho1_16_s_permuted,3417,qr_s_permuted,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,7424.0
seed3417_qr_rho1_8_s_permuted,3417,qr_s_permuted,0.125,32,1024,65.84680413548867,64.18264840182648,65.01472626865757,6,12,7532.0
seed3417_qr_rho1_4_s_permuted,3417,qr_s_permuted,0.25,64,2048,69.35817805383022,69.32006633499171,69.33912219441096,11,17,7696.0
seed3418_svd_rho1_16_s_permuted,3418,svd_s_permuted,0.0625,16,512,66.16059996341687,64.13363337372338,65.14711666857013,5,11,7424.0
seed3418_svd_rho1_8_s_permuted,3418,svd_s_permuted,0.125,32,1024,66.54450799739699,67.22935570393199,66.8869318506645,12,18,7532.0
seed3418_svd_rho1_4_s_permuted,3418,svd_s_permuted,0.25,64,2048,65.87487301243051,66.09082161022775,65.98284731132912,5,11,7696.0
seed3418_qr_rho1_16_s_permuted,3418,qr_s_permuted,0.0625,16,512,65.53896726475826,68.55200776832125,67.04548751653975,12,18,7424.0
seed3418_qr_rho1_8_s_permuted,3418,qr_s_permuted,0.125,32,1024,66.67279411764706,65.38249862410566,66.02764637087637,5,11,7532.0
seed3418_qr_rho1_4_s_permuted,3418,qr_s_permuted,0.25,64,2048,68.23744292237444,66.35089048882152,67.29416670559797,17,20,7696.0
