id,backbone_lr,positive,negative,primary,difference_pp,ci95_pp,simultaneous_ci95_pp,zero_variance,classification
bb3e-05_svd_rho1_16_minus_concat_mlp,3e-05,svd_rho1_16,concat_mlp,True,2.121318921642221,"[-0.7169622165278141, 4.8383783310369255]","[-2.2940162025749657, 6.536654045859407]",False,unresolved
bb3e-05_svd_rho1_16_minus_gated_mil,3e-05,svd_rho1_16,gated_mil,True,2.5801227953692063,"[-0.33542338099501734, 5.4303560781308935]","[-1.9724663634744672, 7.13271195421288]",False,unresolved
bb3e-05_svd_rho1_16_minus_mmtm_r4,3e-05,svd_rho1_16,mmtm_r4,True,2.5658101063598053,"[-0.1900524585711651, 5.263371365696878]","[-1.7268009368291324, 6.858421149548743]",False,unresolved
bb3e-05_svd_rho1_16_minus_mmtm_r8,3e-05,svd_rho1_16,mmtm_r8,True,-0.5975564474743379,"[-3.156241858636214, 1.92786564794527]","[-4.6171659045411, 3.422053009592424]",False,unresolved
bb3e-05_svd_rho1_16_minus_attention_d128,3e-05,svd_rho1_16,attention_d128,True,0.5210792967020978,"[-1.8957437440933067, 2.9338242952515374]","[-3.2673162533418494, 4.3094748467460455]",False,unresolved
bb3e-05_svd_rho1_16_minus_attention_d256,3e-05,svd_rho1_16,attention_d256,True,0.5294268087397782,"[-1.6960516513025177, 2.7959177367239407]","[-3.0138418289069397, 4.072695446386496]",False,unresolved
bb3e-05_svd_rho1_8_minus_concat_mlp,3e-05,svd_rho1_8,concat_mlp,True,1.7797306013816439,"[-1.4152578446296835, 4.862548770943486]","[-3.2148860253189335, 6.774347228082221]",False,unresolved
bb3e-05_svd_rho1_8_minus_gated_mil,3e-05,svd_rho1_8,gated_mil,True,2.23853447510864,"[-0.9102165737355896, 5.389467448546422]","[-2.8216465203287804, 7.29871547054606]",False,unresolved
bb3e-05_svd_rho1_8_minus_mmtm_r4,3e-05,svd_rho1_8,mmtm_r4,True,2.2242217860992284,"[-1.105711820382522, 5.503821867504068]","[-3.0170086778203675, 7.465452250018824]",False,unresolved
bb3e-05_svd_rho1_8_minus_mmtm_r8,3e-05,svd_rho1_8,mmtm_r8,True,-0.9391447677349021,"[-4.06625464981749, 2.1426572390159464]","[-5.8792232737913945, 4.00093373832159]",False,unresolved
