id,seed,backbone_lr,arm,rho,r,h,cfp_f1_percent,oct_f1_percent,fusion_f1_percent,native_probability_average_f1_percent,mean_native_f1_percent,parameters,fusion_parameters,communication_parameters,best_epoch,stop_epoch,gpu_seconds,peak_process_mib
seed3416_bb3e-05_concat_mlp,3416,3e-05,concat_mlp,,,,63.66848293662174,61.1375597949561,69.59320641008081,67.84337941839055,62.40302136578892,44601478,262914,0,6,12,194.38311306599644,7800
seed3416_bb3e-05_gated_mil,3416,3e-05,gated_mil,,,,63.817519258268376,57.91315760691239,67.0639518210496,62.78350016925383,60.86533843259039,44864390,525826,0,2,8,233.60579934497946,7804
seed3416_bb3e-05_svd_rho1_16,3416,3e-05,svd_rho1_16,0.0625,16,512,69.90460958473753,63.78149050281885,69.89085090576604,67.82277351214657,66.84305004377819,47747206,262914,3145728,10,15,261.3378118480032,7910
seed3416_bb3e-05_svd_rho1_8,3416,3e-05,svd_rho1_8,0.125,32,1024,70.81269491836359,67.22935570393199,70.45942070547748,70.91274738333561,69.02102531114778,57184390,262914,12582912,11,17,528.0698026359896,7978
seed3416_bb3e-05_svd_rho1_4,3416,3e-05,svd_rho1_4,0.25,64,2048,69.21424081376078,69.5264241592313,70.59971914922765,69.19734239024781,69.37033248649604,94933126,262914,50331648,16,22,442.97375672499766,8148
seed3416_bb3e-05_mmtm_r4,3416,3e-05,mmtm_r4,,,,64.85844748858447,60.766031354266644,67.77262048020171,62.72893772893773,62.81223942142555,44864390,262914,262912,8,14,383.60083479300374,7932
seed3416_bb3e-05_mmtm_r8,3416,3e-05,mmtm_r8,,,,65.15458026172925,62.8310502283105,71.55799588194921,69.21424081376078,63.99281524501988,44733190,262914,131712,8,14,229.5495277660084,7930
seed3416_bb3e-05_attention_d128,3416,3e-05,attention_d128,,,,67.12127978746551,61.442479089537905,69.5264241592313,67.44718874581864,64.2818794385017,44865926,262914,264448,7,13,347.3016044560063,8140
seed3416_bb3e-05_attention_d256,3416,3e-05,attention_d256,,,,65.19277094678677,61.47945205479453,69.91560747770278,67.2203765227021,63.33611150079065,45128838,262914,527360,10,16,266.88706260500476,8180
seed3416_bb6e-05_concat_mlp,3416,6e-05,concat_mlp,,,,64.8391812865497,60.01831501831503,69.90460958473753,69.85501939558993,62.42874815243237,44601478,262914,0,11,17,469.3016313240223,7800
seed3416_bb6e-05_gated_mil,3416,6e-05,gated_mil,,,,62.099871959026885,61.14820521600183,68.57785336788156,67.19940595190495,61.62403858751435,44864390,525826,0,10,12,198.79076670500217,7804
