id,primary,seeds,rhos,branches,difference_pp,ci95_low,ci95_high,simultaneous95_low,simultaneous95_high,bootstrap_sd_pp,classification,zero_variance
svd_geometry,True,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]","['cfp', 'oct']",3.2519969667229116,1.239155060169162,5.306419414442151,0.21520674688152175,6.288787186564301,1.0430377690390076,unresolved,False
qr_geometry,True,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]","['cfp', 'oct']",2.040769670733262,0.3317725121091381,3.755223817744819,-0.5098333869772316,4.591372728443755,0.8760484361535432,unresolved,False
basis_geometry_interaction,True,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]","['cfp', 'oct']",1.2112272959896502,-0.18050360290357964,2.5947148691998247,-0.8483500078552058,3.270804599834506,0.7073972058161835,unresolved,False
svd_oct_to_cfp_contribution,True,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]",['cfp'],4.135044643885854,1.7828594503684592,6.512634755800656,0.6460389886690829,7.624050299102624,1.198358928781012,unresolved,False
svd_cfp_to_oct_contribution,True,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]",['oct'],4.463524714913676,0.5318870066343908,8.388496694303672,-1.2892721501676823,10.216321579995036,1.9758969087441458,unresolved,False
qr_oct_to_cfp_contribution,True,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]",['cfp'],2.9990860630381793,1.1943601259302388,4.821147949635235,0.2926264168767454,5.705545709199614,0.9295800588668139,unresolved,False
qr_cfp_to_oct_contribution,True,"[3416, 3417, 3418]","[0.0625, 0.125, 0.25]",['oct'],3.1778000068091288,-0.0005455422794650525,6.346548157665051,-1.5408265607266198,7.896426574344877,1.6206933543759028,unresolved,False
svd_rho1_16_minus_mmtm_r4,True,"[3416, 3417, 3418]",[0.0625],"['cfp', 'oct']",3.813721268788157,1.2879933535735633,6.431168478083745,-0.040407198035310454,7.667849735611625,1.3237666307537184,unresolved,False
svd_rho1_16_minus_mmtm_r8,True,"[3416, 3417, 3418]",[0.0625],"['cfp', 'oct']",3.813721268788157,1.2879933535735633,6.431168478083745,-0.040407198035310454,7.667849735611625,1.3237666307537184,unresolved,False
svd_rho1_16_minus_attention_d128,True,"[3416, 3417, 3418]",[0.0625],"['cfp', 'oct']",3.368740737220966,1.0264983428518777,5.77444080350171,-0.18125890588686877,6.918740380328801,1.219308361718138,unresolved,False
svd_rho1_16_minus_attention_d256,True,"[3416, 3417, 3418]",[0.0625],"['cfp', 'oct']",2.9697024289440215,0.9064298308407164,5.125019436517438,-0.18517486441218756,6.124579722300231,1.0835968030172174,unresolved,False
svd_rho1_8_minus_mmtm_r4,True,"[3416, 3417, 3418]",[0.125],"['cfp', 'oct']",4.446973881893646,1.400378449453819,7.631638539021519,-0.2013252949359936,9.095273058723286,1.5965382039064488,unresolved,False
svd_rho1_8_minus_mmtm_r8,True,"[3416, 3417, 3418]",[0.125],"['cfp', 'oct']",4.446973881893648,1.400378449453819,7.631638539021519,-0.20132529493599183,9.095273058723286,1.5965382039064488,unresolved,False
svd_rho1_8_minus_attention_d128,True,"[3416, 3417, 3418]",[0.125],"['cfp', 'oct']",4.001993350326455,1.080018908856469,7.012622154835016,-0.4102854371782856,8.414272137831194,1.5154729466750756,unresolved,False
svd_rho1_8_minus_attention_d256,True,"[3416, 3417, 3418]",[0.125],"['cfp', 'oct']",3.602955042049512,0.9025650977881281,6.371369257520316,-0.44629612148206554,7.6522062055810895,1.3907848728876553,unresolved,False
svd_rho1_4_minus_mmtm_r4,True,"[3416, 3417, 3418]",[0.25],"['cfp', 'oct']",4.321944690605459,1.102992305703975,7.615679352304702,-0.48346812199826594,9.127357503209184,1.650501581117262,unresolved,False
svd_rho1_4_minus_mmtm_r8,True,"[3416, 3417, 3418]",[0.25],"['cfp', 'oct']",4.321944690605459,1.102992305703975,7.615679352304702,-0.48346812199826594,9.127357503209184,1.650501581117262,unresolved,False
svd_rho1_4_minus_attention_d128,True,"[3416, 3417, 3418]",[0.25],"['cfp', 'oct']",3.876964159038268,0.7255180687921924,7.036054998984024,-0.7893011312229072,8.543229449299442,1.602708974198547,unresolved,False
svd_rho1_4_minus_attention_d256,True,"[3416, 3417, 3418]",[0.25],"['cfp', 'oct']",3.4779258507613235,0.5503005216348199,6.413038829837077,-0.8394234388827515,7.795275140405399,1.4828677798717682,unresolved,False
qr_rho1_16_minus_mmtm_r4,True,"[3416, 3417, 3418]",[0.0625],"['cfp', 'oct']",0.4491777700574513,-0.6212783337908834,1.5121788926064677,-1.132837348516841,2.0311928886317436,0.5433702693990812,unresolved,False
qr_rho1_16_minus_mmtm_r8,True,"[3416, 3417, 3418]",[0.0625],"['cfp', 'oct']",0.4491777700574531,-0.6212783337908834,1.5121788926064677,-1.1328373485168393,2.0311928886317454,0.5433702693990812,unresolved,False
qr_rho1_16_minus_attention_d128,True,"[3416, 3417, 3418]",[0.0625],"['cfp', 'oct']",0.004197238490259991,-1.0168752224057511,1.0183784763154853,-1.513966609139157,1.522361086119677,0.5214394535127845,unresolved,False
qr_rho1_16_minus_attention_d256,True,"[3416, 3417, 3418]",[0.0625],"['cfp', 'oct']",-0.39484106978668265,-1.9284797420802804,1.1615172908963478,-2.6840636575626933,1.894381517989328,0.7862728235842069,unresolved,False
qr_rho1_8_minus_mmtm_r4,True,"[3416, 3417, 3418]",[0.125],"['cfp', 'oct']",2.995391910053005,0.07618145797718164,5.85871454588421,-1.262186031813017,7.252969851919027,1.4623382836847938,unresolved,False
qr_rho1_8_minus_mmtm_r8,True,"[3416, 3417, 3418]",[0.125],"['cfp', 'oct']",2.995391910053005,0.07618145797718164,5.85871454588421,-1.262186031813017,7.252969851919027,1.4623382836847938,unresolved,False
qr_rho1_8_minus_attention_d128,True,"[3416, 3417, 3418]",[0.125],"['cfp', 'oct']",2.550411378485814,-0.21705942047165128,5.270958779086879,-1.5059911154448757,6.606813872416503,1.3932411201636163,unresolved,False
