method,rho,seed_subset,difference_pp,ci95_low,ci95_high
No bridge,N/A,"[3416, 3417, 3418]",0.0,0.0,0.0
No bridge,N/A,[3416],0.0,0.0,0.0
No bridge,N/A,[3417],0.0,0.0,0.0
No bridge,N/A,[3418],0.0,0.0,0.0
Learned CM,1/16,"[3416, 3417, 3418]",1.3958470455213956,-1.4126003008484496,4.23862045682745
Learned CM,1/16,[3416],-0.0403558801437387,-4.734317059760766,4.697522534378929
Learned CM,1/16,[3417],5.307377312501693,0.5983563946511226,10.071213560880684
Learned CM,1/16,[3418],-1.0794802957937666,-5.778749839696795,3.6234805587295322
SVD / Radon,1/16,"[3416, 3417, 3418]",1.8604357118846675,-1.2361262322302051,4.942176053474086
SVD / Radon,1/16,[3416],-0.3553615941844446,-5.127668148788525,4.3933570747301545
SVD / Radon,1/16,[3417],8.103818453995649,3.043465151338437,13.169160255021454
SVD / Radon,1/16,[3418],-2.1671497241572024,-6.999541439651169,2.6848488520548623
SVD / self only,1/16,"[3416, 3417, 3418]",0.0,0.0,0.0
SVD / self only,1/16,[3416],0.0,0.0,0.0
SVD / self only,1/16,[3417],0.0,0.0,0.0
SVD / self only,1/16,[3418],0.0,0.0,0.0
SVD / scrambled Radon,1/16,"[3416, 3417, 3418]",1.087664515486612,-1.738377135486539,3.945598594427315
SVD / scrambled Radon,1/16,[3416],-2.169521867428026,-6.652553713588872,2.2821975106112804
SVD / scrambled Radon,1/16,[3417],5.065604263290191,0.3382238170373764,9.805436323260718
SVD / scrambled Radon,1/16,[3418],0.36691115059767077,-4.836977594930089,5.584866694023513
SVD / linear resampling,1/16,"[3416, 3417, 3418]",0.2291819816118442,-1.1223478479019138,1.5699371820598649
SVD / linear resampling,1/16,[3416],0.0,0.0,0.0
SVD / linear resampling,1/16,[3417],0.0,0.0,0.0
SVD / linear resampling,1/16,[3418],0.6875459448355326,-3.3670435437057415,4.709811546179595
Random QR / Radon,1/16,"[3416, 3417, 3418]",0.12183070584637819,-1.2322204878037166,1.4710535340635573
Random QR / Radon,1/16,[3416],0.0,0.0,0.0
Random QR / Radon,1/16,[3417],0.0,0.0,0.0
Random QR / Radon,1/16,[3418],0.3654921175391346,-3.69666146341115,4.413160602190672
Learned CM,1/8,"[3416, 3417, 3418]",0.8403001420753231,-1.9230773961326957,3.7060310408202715
Learned CM,1/8,[3416],0.842162287162973,-4.424304449809682,6.24270042664951
Learned CM,1/8,[3417],1.6787381390629963,-4.114828866864568,7.768655017967018
Learned CM,1/8,[3418],0.0,0.0,0.0
SVD / Radon,1/8,"[3416, 3417, 3418]",0.9675471397936342,-2.529879047653235,4.484448723167813
SVD / Radon,1/8,[3416],0.3489780271575982,-4.408563414752723,5.097350095247662
SVD / Radon,1/8,[3417],4.6899929759132934,-0.44487209269428113,9.902123117964802
SVD / Radon,1/8,[3418],-2.1363295836899887,-7.199080148035913,3.061356981827452
SVD / self only,1/8,"[3416, 3417, 3418]",0.0,0.0,0.0
SVD / self only,1/8,[3416],0.0,0.0,0.0
SVD / self only,1/8,[3417],0.0,0.0,0.0
SVD / self only,1/8,[3418],0.0,0.0,0.0
SVD / scrambled Radon,1/8,"[3416, 3417, 3418]",1.8025047654761686,-1.9182063489284438,5.6338805830433705
SVD / scrambled Radon,1/8,[3416],0.9975338763580921,-3.762688252097653,5.744280374777987
SVD / scrambled Radon,1/8,[3417],3.7140060897742133,-2.1872255376231236,9.73937503609744
SVD / scrambled Radon,1/8,[3418],0.6959743302962007,-4.821055173602969,6.348474414538786
SVD / linear resampling,1/8,"[3416, 3417, 3418]",-1.3779638865725083,-3.4632694528958523,0.6733383190795711
SVD / linear resampling,1/8,[3416],-2.748281823858234,-7.182711375149224,1.6881482308461044
SVD / linear resampling,1/8,[3417],0.0,0.0,0.0
SVD / linear resampling,1/8,[3418],-1.3856098358592916,-5.424208176491797,2.70715955844748
Random QR / Radon,1/8,"[3416, 3417, 3418]",1.4818983623948256,-1.9478705807760914,4.891949388926537
Random QR / Radon,1/8,[3416],-1.0652370830175006,-6.0674830684768555,3.8810408330669186
Random QR / Radon,1/8,[3417],5.349704644405573,0.0070372809388356775,10.63284050442093
Random QR / Radon,1/8,[3418],0.16122752579640354,-4.636994369100568,5.018388086490939
Learned CM,1/4,"[3416, 3417, 3418]",1.7945470572660567,-0.8654920500210428,4.488562643884709
Learned CM,1/4,[3416],-0.7008103364827489,-5.876290935166447,4.576624493843745
Learned CM,1/4,[3417],6.084451508280919,0.5943622178856028,11.784024021780665
Learned CM,1/4,[3418],0.0,0.0,0.0
SVD / Radon,1/4,"[3416, 3417, 3418]",1.2245407978815164,-2.523719729483082,4.910288953591818
SVD / Radon,1/4,[3416],-0.3336114591933059,-5.7869295229935025,5.207519675415764
SVD / Radon,1/4,[3417],4.715862202768539,-0.6479770785536704,10.057262754858828
SVD / Radon,1/4,[3418],-0.7086283499306845,-6.084509941785942,4.716518138595439
SVD / self only,1/4,"[3416, 3417, 3418]",0.0,0.0,0.0
SVD / self only,1/4,[3416],0.0,0.0,0.0
SVD / self only,1/4,[3417],0.0,0.0,0.0
SVD / self only,1/4,[3418],0.0,0.0,0.0
SVD / scrambled Radon,1/4,"[3416, 3417, 3418]",0.19129413697999512,-3.562001730809262,3.9559702090378863
SVD / scrambled Radon,1/4,[3416],-0.3880465087781837,-5.38721254117829,4.665550297493487
SVD / scrambled Radon,1/4,[3417],3.2977204718231956,-2.349021058287156,9.09813462795797
SVD / scrambled Radon,1/4,[3418],-2.3357915521050265,-7.793052264891104,3.242360043361112
SVD / linear resampling,1/4,"[3416, 3417, 3418]",1.2120467324473694,-1.7625909626193113,4.123776187690836
SVD / linear resampling,1/4,[3416],-0.3553615941844446,-4.829749888720755,4.058503031361264
SVD / linear resampling,1/4,[3417],1.8234727528544714,-2.7080189708175575,6.2412066767655165
SVD / linear resampling,1/4,[3418],2.1680290386720813,-2.0745560577437674,6.493968755804297
Random QR / Radon,1/4,"[3416, 3417, 3418]",1.6889325930944574,-1.7924222652423532,5.212368985452559
Random QR / Radon,1/4,[3416],0.9975338763580921,-4.213471900527168,6.238566453600414
Random QR / Radon,1/4,[3417],5.391915967314542,-0.3391097807733942,11.173106578966369
Random QR / Radon,1/4,[3418],-1.3226520643892625,-6.1925460840719175,3.6872246678213707
Centered-fit SVD / Radon,1/16,"[3416, 3417, 3418]",2.770218007951749,0.005428573430403866,5.523617119423478
Centered-fit SVD / Radon,1/16,[3416],-0.6595719881256401,-5.253039410499285,3.786434300920472
Centered-fit SVD / Radon,1/16,[3417],7.995809621070837,3.161766426972699,12.802228721474709
Centered-fit SVD / Radon,1/16,[3418],0.974416390910049,-3.777499273560605,5.884272207947662
