id,seed,method,rho,r,h,M,S,cfp_f1_percent,oct_f1_percent,mean_branch_f1_percent,fused_f1_percent,cfp_gain_pp,oct_gain_pp,mean_gain_pp,best_epoch,stop_epoch,total_parameters,stored_bridge_parameters,effective_bridge_parameters,training_gpu_minutes,peak_process_mib,summary_sha256,predictions_sha256,checkpoint_sha256,parent_cfp_sha256,parent_oct_sha256
seed3416_no_bridge,3416,No bridge,N/A,N/A,N/A,N/A,N/A,66.8903803131991,65.13545347467608,66.01291689393759,70.59166124224879,0.0,0.0,0.0,0,8,44338564,0,0,3.8408633138333244,7796,b3544768148715f522c2d3a35989d94cb42d5b79e3f48e0e72d70115c738a215,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,e4aeac75dde727f16d509bb49247e196e42c612726e98bc537a2b6b0be4a00ea,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_learned_rho1_16,3416,Learned CM,1/16,N/A,512,32,64,70.22132796780684,70.18315018315018,70.2022390754785,70.55130536210505,3.3309476546077406,5.047696708474092,4.189322181540916,11,17,64261508,19922944,19922944,8.435505578183378,8232,a1ca244ec093bb9d4719fffcabbdb7f4ab305d1cafef79124d2088ac0749f308,e6568d87d18f413c97994a10bdb66b114de2f3d5fe72a604ed0c8b9365a1aa32,27633fccdc70b283b93177e0a204064f9d69243eed1c6dcc4cc155158ad7558d,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_svd_radon_rho1_16,3416,SVD / Radon,1/16,16,512,32,64,69.57236842105263,69.21424081376078,69.3933046174067,70.23629964806435,2.6819881078535275,4.078787339084698,3.380387723469113,9,15,47484292,3145728,3145728,4.510786068383277,7906,9c1eaaf9f8554ae763056bc885b6b021e4a9febbada6d4164e3036dc3a2baa90,8aa60b62273395ac44cb0f640c40416292cd41afdd0e1d4cd73bebb8923a3d84,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_svd_self_rho1_16,3416,SVD / self only,1/16,16,512,32,64,66.8903803131991,65.13545347467608,66.01291689393759,70.59166124224879,0.0,0.0,0.0,0,8,47484292,3145728,1572864,2.424391758849985,7906,bf6b2e0042f9e7b2a51d8471a992474e06ff6166a65c60641b1825fcaf6c59f6,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,30324cd0db372c6879fa0e4a8e33d151737cfaf2970f36d0a390fff1b7407a43,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_svd_scrambled_rho1_16,3416,SVD / scrambled Radon,1/16,16,512,32,64,68.09759677123463,65.70576426727845,66.90168051925654,68.42213937482077,1.207216458035532,0.5703107926023705,0.8887636253189584,7,13,47484292,3145728,3145728,3.786984322550052,7906,7972dbc19e2dcdb73e84d028043b219bc2938af83d2414ce87a1e9b2750e1b4f,1ea5a29909e2cb8ec7b18baca1e15fa022e5a73c15267beda5185e1da15b4351,de9b2d7cc5fbf968d9971deb67b240fe282f876741a4d4d57e4b40824ba3cff0,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_svd_resample_rho1_16,3416,SVD / linear resampling,1/16,16,512,N/A (packing32),64,66.8903803131991,65.13545347467608,66.01291689393759,70.59166124224879,0.0,0.0,0.0,0,8,47484292,3145728,3145728,2.318561345333243,7848,6128637074ada80cfd61b6bf0edd74894144ac7f2cf28e20592da4f473eff1be,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,4b32f8371ecbb293a034f95bd32c7ba3a53078fc306a38586568bdd4c859f39d,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_qr_radon_rho1_16,3416,Random QR / Radon,1/16,16,512,32,64,66.8903803131991,65.13545347467608,66.01291689393759,70.59166124224879,0.0,0.0,0.0,0,8,47484292,3145728,3145728,2.4024608252000084,7906,727170824911c83c3e7702bb47674e718ed32c99aeecb6948a782afd4e74551e,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_learned_rho1_8,3416,Learned CM,1/8,N/A,1024,32,64,69.64102564102564,70.53243469007107,70.08673016554835,71.43382352941177,2.7506453278265326,5.396981215394987,4.07381327161076,16,22,90475908,46137344,46137344,19.04528377956667,8662,f56ff37adedb771932a4a36c2fc9cf13a6014371f42bdc10f99066904739b5b4,5d6dc77e9c725cd92cf9847230f5b8c1962063d669e047f7a302cb95b3540d98,668cff8abb89baeafd26b62c5baf0878ed719c22d70ecb053a8d46011bfa5c7e,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_svd_radon_rho1_8,3416,SVD / Radon,1/8,32,1024,32,64,72.29603250696252,71.27558767453277,71.78581009074765,70.94063926940639,5.405652193763416,6.140134199856689,5.77289319681006,11,17,56921476,12582912,12582912,5.076886907166651,8012,b3dcc277143458333d0ef8a681a89608401062d1ebe6b321df17c181fed91602,e2df4ffb0ac226b799eab59f71c16ad3c7e15d83bf65c63b013df7716e0138eb,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_svd_self_rho1_8,3416,SVD / self only,1/8,32,1024,32,64,66.8903803131991,65.13545347467608,66.01291689393759,70.59166124224879,0.0,0.0,0.0,0,8,56921476,12582912,6291456,2.512841679666599,8012,ef4ba83a770f55d781e9234b824f9ab0b45c563634363fef504525c898016b02,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,f75732311e9fb0c47582a8eb7a05f4f79961cab037bda8a4735c54b6182ebf17,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_svd_scrambled_rho1_8,3416,SVD / scrambled Radon,1/8,32,1024,32,64,68.24179336163996,69.21424081376078,68.72801708770038,71.58919511860688,1.351413048440861,4.078787339084698,2.715100193762794,10,10,56921476,12582912,12582912,3.103486808183273,8012,a7070c4e7dc72ef8511884567478f1d8af609dc14cd9bac31c2ea25eda054bbb,d9e157682426602ccdb7f75c8d09372e3017da066ce35c0bb2335cc6af8fc627,340920598395acdc474e913755ec4d216f713515aced3e6e6547553cd88d141d,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_svd_resample_rho1_8,3416,SVD / linear resampling,1/8,32,1024,N/A (packing32),64,69.58904109589041,65.46328071379548,67.52616090484295,67.84337941839055,2.698660782691306,0.3278272391194008,1.5132440109053675,9,15,56921476,12582912,12582912,4.201656594916737,8154,2d028c3e45fb2948d700204cfd943c661f9d39d8c2dfc9efa7f4a5f9f8e5fdff,4483ea6e05ce790fac2ce6c98c7713884fa6fa9c6c311a6bcbb90818a1776c88,2703324f98a9e564d5a5fba0d519a66adca397c9ea4ea7391fa5e7ae26b71511,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_qr_radon_rho1_8,3416,Random QR / Radon,1/8,32,1024,32,64,71.20984998455218,69.25359845674433,70.23172422064826,69.5264241592313,4.319469671353076,4.1181449820682445,4.2188073267106745,7,13,56921476,12582912,12582912,3.945775679433306,8012,2f123e06bb938b717fe89c227d4d44188f146b072a82a04e80e5a8ce754fefd7,e996dccbd1f5b4e6bf821830e8516f0d1929abfc0ccd7a828738da71a4dd0192,cd352da2d5b95e840aa859e28aaf7571cc5949258359eef1da7d9a7bcf6e6eeb,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
seed3416_learned_rho1_4,3416,Learned CM,1/4,N/A,2048,32,64,69.90460958473753,70.20361473347062,70.05411215910408,69.89085090576604,3.014229271538426,5.068161258794532,4.041195265166493,10,16,161779076,117440512,117440512,9.177334390816698,9552,fbae6fafc8bc9dbcbbf3cf95ecda706d18b1f0e813a1247d20d4f7f2bea9734c,58a1a5824bc3c5bdf20fd4fabfd132e5ba0b06c26b479e69833950ce753535b5,9c96140e70f3ab0169adc953f57c390055394023b0960213c9e8ada984e8b984,d7228d326c3739380eee3d6710c299d6687a6551137033472013b923c13b730e,10dca6b8599f1472cf50320e9f0e2dffc3434ccdedc839af82bc7c5d506a54f5
