id,training_id,seed,arm,regime,rho,r,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,best_epoch,stop_epoch,prediction_sha256,selected_sha256
seed3416_nested_learned_channel_rho1_4_view16,seed3416_nested_learned_channel_rho1_4,3416,nested_learned_channel,joint_width,0.0625,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,d6012901474cbcd9706af5315dbac70d57490d1815fd2ce6026f4bee1b6d7812
seed3416_nested_learned_channel_rho1_4_view8,seed3416_nested_learned_channel_rho1_4,3416,nested_learned_channel,joint_width,0.125,32,1024,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,3df16a60080b4ae15dd83d7f42942fce23a511bf01a0732d8ab8aa0215c6b299
seed3416_nested_learned_channel_rho1_4_view4,seed3416_nested_learned_channel_rho1_4,3416,nested_learned_channel,joint_width,0.25,64,2048,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,0d5692af5f3061e603de490e4a5d4b093167a4758bbfc57ba4d09b4f939cc7e7
seed3416_nested_svd_rho1_4_view16,seed3416_nested_svd_rho1_4,3416,nested_svd,joint_width,0.0625,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,d8a8a910dcb196180529e4f5dc98f8c302868664616ba47f880766d4cf0713e1
seed3416_nested_svd_rho1_4_view8,seed3416_nested_svd_rho1_4,3416,nested_svd,joint_width,0.125,32,1024,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,bd13ab16deca562519cde4a818990bb533d2e9500be3e33987daadc43cfcd2ac
seed3416_nested_svd_rho1_4_view4,seed3416_nested_svd_rho1_4,3416,nested_svd,joint_width,0.25,64,2048,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,1cbf4d3635589c3e10b696e80f60e6aa5c2140840fd166cce729f99a7703b724
seed3416_nested_qr_rho1_4_view16,seed3416_nested_qr_rho1_4,3416,nested_qr,joint_width,0.0625,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,948c896db9b4ed2b4d221f6c6d20dbe0eac89b77f23e0aaaaef76ac0f7232688
seed3416_nested_qr_rho1_4_view8,seed3416_nested_qr_rho1_4,3416,nested_qr,joint_width,0.125,32,1024,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,0926f7d61238728317059ec01963a1648055b9b50f15b06933c3e8a323ba4b41
seed3416_nested_qr_rho1_4_view4,seed3416_nested_qr_rho1_4,3416,nested_qr,joint_width,0.25,64,2048,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,25fef0079c113b351367749946eedca5d7d3116e11c3f9124e4f3756680b498a
seed3417_nested_learned_channel_rho1_4_view16,seed3417_nested_learned_channel_rho1_4,3417,nested_learned_channel,joint_width,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,0abb926da4f86cff8fc7a84511465bee64eda5ab5390b5dd22a0055451ab41b0
seed3417_nested_learned_channel_rho1_4_view8,seed3417_nested_learned_channel_rho1_4,3417,nested_learned_channel,joint_width,0.125,32,1024,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,e3223f771de3087b0a61ed351df815b3cb04c4c44f62943bc75d90cc9d3f7875
seed3417_nested_learned_channel_rho1_4_view4,seed3417_nested_learned_channel_rho1_4,3417,nested_learned_channel,joint_width,0.25,64,2048,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,2f73a89729787cf01cc93b31e0fc9cb4140dea6299dc6e114f0b2b5f65d7ea28
seed3417_nested_svd_rho1_4_view16,seed3417_nested_svd_rho1_4,3417,nested_svd,joint_width,0.0625,16,512,63.847637745842235,64.1875542163174,64.01759598107981,0,8,0d12cca1f3fba7e07a8ced1625ee072883cd009dbf0a11568cc31ca4af018ef2,591ba71e31d1c17643448f6b1dbe90ea0de953ed19c7a451679e8bb27439ec9b
