id,training_id,seed,arm,regime,rho,r,h,cfp_f1_percent,oct_f1_percent,mean_f1_percent,best_epoch,stop_epoch,prediction_sha256,selected_sha256
seed3416_no_bridge,seed3416_no_bridge,3416,no_bridge,independent_width,,,,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,e4aeac75dde727f16d509bb49247e196e42c612726e98bc537a2b6b0be4a00ea
seed3416_learned_rho1_16,seed3416_learned_rho1_16,3416,learned,independent_width,0.0625,,512,70.22132796780684,70.18315018315018,70.2022390754785,11,17,e6568d87d18f413c97994a10bdb66b114de2f3d5fe72a604ed0c8b9365a1aa32,27633fccdc70b283b93177e0a204064f9d69243eed1c6dcc4cc155158ad7558d
seed3416_svd_radon_rho1_16,seed3416_svd_radon_rho1_16,3416,svd_radon,independent_width,0.0625,16,512,69.57236842105263,69.21424081376078,69.3933046174067,9,15,8aa60b62273395ac44cb0f640c40416292cd41afdd0e1d4cd73bebb8923a3d84,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca
seed3416_svd_self_rho1_16,seed3416_svd_self_rho1_16,3416,svd_self,independent_width,0.0625,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,30324cd0db372c6879fa0e4a8e33d151737cfaf2970f36d0a390fff1b7407a43
seed3416_svd_scrambled_rho1_16,seed3416_svd_scrambled_rho1_16,3416,svd_scrambled,independent_width,0.0625,16,512,68.09759677123463,65.70576426727845,66.90168051925654,7,13,1ea5a29909e2cb8ec7b18baca1e15fa022e5a73c15267beda5185e1da15b4351,de9b2d7cc5fbf968d9971deb67b240fe282f876741a4d4d57e4b40824ba3cff0
seed3416_svd_resample_rho1_16,seed3416_svd_resample_rho1_16,3416,svd_resample,independent_width,0.0625,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,4b32f8371ecbb293a034f95bd32c7ba3a53078fc306a38586568bdd4c859f39d
seed3416_qr_radon_rho1_16,seed3416_qr_radon_rho1_16,3416,qr_radon,independent_width,0.0625,16,512,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230
seed3416_learned_rho1_8,seed3416_learned_rho1_8,3416,learned,independent_width,0.125,,1024,69.64102564102564,70.53243469007107,70.08673016554835,16,22,5d6dc77e9c725cd92cf9847230f5b8c1962063d669e047f7a302cb95b3540d98,668cff8abb89baeafd26b62c5baf0878ed719c22d70ecb053a8d46011bfa5c7e
seed3416_svd_radon_rho1_8,seed3416_svd_radon_rho1_8,3416,svd_radon,independent_width,0.125,32,1024,72.29603250696252,71.27558767453277,71.78581009074765,11,17,e2df4ffb0ac226b799eab59f71c16ad3c7e15d83bf65c63b013df7716e0138eb,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1
seed3416_svd_self_rho1_8,seed3416_svd_self_rho1_8,3416,svd_self,independent_width,0.125,32,1024,66.8903803131991,65.13545347467608,66.01291689393759,0,8,2858f087207b5105660c0c821acd6fae7bccfb1ad4c2bc220999c0127e698906,f75732311e9fb0c47582a8eb7a05f4f79961cab037bda8a4735c54b6182ebf17
