method,configuration,n,dev_mean,cfp,oct,mean,fusion,parameters
No communication,no_communication,6,65.02558889684214,59.089611750853244,57.16589531568103,58.12775353326713,59.6569638877663,44338564
Ordinary r16 / h512,linear_resample_M32_S64_k3_r16,6,65.09995430551953,59.49801865652575,57.24653232275888,58.37227548964232,59.77655944204269,47484292
R&B r16 / h512,radon_M32_S64_k3_r16,6,67.6670453630685,60.610220046689214,60.855606961908684,60.73291350429895,62.33209711801222,47484292
Ordinary r32 / h1024,linear_resample_M32_S64_k3_r32,6,65.57005736000357,59.230761611759085,58.18167206525208,58.70621683850559,60.585379811009176,56921476
R&B r32 / h1024,radon_M32_S64_k3_r32,6,68.24171752506084,62.80780482453585,60.65697820388678,61.732391514211315,61.82090230390818,56921476
MMTM hidden128,mmtm_hidden128,6,65.02109481586477,58.914589976129115,57.53580518564307,58.22519758088609,59.49064797138146,44470276
MMTM hidden256,mmtm_hidden256,6,65.02109481586477,58.914589976129115,57.53580518564307,58.22519758088609,59.49064797138146,44601476
MMTM hidden512,mmtm_hidden512,6,65.02109481586477,58.914589976129115,57.53580518564307,58.22519758088609,59.49064797138146,44863876
MMTM hidden1024,mmtm_hidden1024,6,65.02109481586477,58.914589976129115,57.53580518564307,58.22519758088609,59.49064797138146,45388676
Attention d128,attention_d128,6,65.41189326851612,59.63499048152849,57.203051708130005,58.41902109482925,60.084088249655295,44603012
Attention d256,attention_d256,6,65.46904217000645,59.5037690120213,58.580624900847376,59.042196956434346,60.0807441734143,44865924
Attention d512,attention_d512,6,66.15989806531277,59.80553981190312,59.10001139107166,59.45277560148738,60.77782425059738,45391748
Attention d1024,attention_d1024,6,66.18398252554013,61.196387065504986,60.435545763911435,60.815966414708214,60.580206505025615,46443396
