method,split,branch,all_six_wrong_shared_with_no_communication,all_six_wrong_no_communication,all_six_wrong_method
linear_resample_M32_S64_k3_r16,validation,cfp,52,54,55
linear_resample_M32_S64_k3_r16,validation,oct,55,58,59
linear_resample_M32_S64_k3_r16,test,cfp,61,70,65
linear_resample_M32_S64_k3_r16,test,oct,62,65,66
radon_M32_S64_k3_r16,validation,cfp,33,54,36
radon_M32_S64_k3_r16,validation,oct,27,58,32
radon_M32_S64_k3_r16,test,cfp,40,70,46
radon_M32_S64_k3_r16,test,oct,31,65,37
linear_resample_M32_S64_k3_r32,validation,cfp,41,54,49
linear_resample_M32_S64_k3_r32,validation,oct,45,58,50
linear_resample_M32_S64_k3_r32,test,cfp,50,70,57
linear_resample_M32_S64_k3_r32,test,oct,45,65,47
radon_M32_S64_k3_r32,validation,cfp,28,54,40
radon_M32_S64_k3_r32,validation,oct,25,58,37
radon_M32_S64_k3_r32,test,cfp,30,70,49
radon_M32_S64_k3_r32,test,oct,27,65,34
mmtm_hidden128,validation,cfp,54,54,60
mmtm_hidden128,validation,oct,58,58,65
mmtm_hidden128,test,cfp,70,70,77
mmtm_hidden128,test,oct,65,65,72
mmtm_hidden256,validation,cfp,54,54,60
mmtm_hidden256,validation,oct,58,58,65
mmtm_hidden256,test,cfp,70,70,77
mmtm_hidden256,test,oct,65,65,72
mmtm_hidden512,validation,cfp,54,54,60
mmtm_hidden512,validation,oct,58,58,65
mmtm_hidden512,test,cfp,70,70,77
mmtm_hidden512,test,oct,65,65,72
mmtm_hidden1024,validation,cfp,54,54,60
mmtm_hidden1024,validation,oct,58,58,65
mmtm_hidden1024,test,cfp,70,70,77
mmtm_hidden1024,test,oct,65,65,72
attention_d256,validation,cfp,41,54,49
attention_d256,validation,oct,41,58,44
attention_d256,test,cfp,50,70,53
attention_d256,test,oct,46,65,51
attention_d1024,validation,cfp,37,54,46
attention_d1024,validation,oct,33,58,38
attention_d1024,test,cfp,43,70,51
attention_d1024,test,oct,33,65,36
