method,split,branch,field,value,n,mean_error_rate
linear_resample_M32_S64_k3_r16,validation,cfp,sex,0,138,0.28019323671497587
linear_resample_M32_S64_k3_r16,validation,cfp,sex,1,158,0.39767932489451474
linear_resample_M32_S64_k3_r16,validation,cfp,label,0,148,0.3344594594594595
linear_resample_M32_S64_k3_r16,validation,cfp,label,1,148,0.35135135135135137
linear_resample_M32_S64_k3_r16,validation,cfp,age_band,60plus,212,0.36556603773584906
linear_resample_M32_S64_k3_r16,validation,cfp,age_band,under60,84,0.2857142857142857
linear_resample_M32_S64_k3_r16,validation,cfp,centre,11014,48,0.3298611111111111
linear_resample_M32_S64_k3_r16,validation,cfp,centre,11016,22,0.26515151515151514
linear_resample_M32_S64_k3_r16,validation,cfp,centre,11018,42,0.40476190476190477
linear_resample_M32_S64_k3_r16,validation,cfp,centre,11020,44,0.3522727272727273
linear_resample_M32_S64_k3_r16,validation,cfp,centre,11021,64,0.3255208333333333
linear_resample_M32_S64_k3_r16,validation,cfp,centre,11024,74,0.34459459459459457
linear_resample_M32_S64_k3_r16,validation,oct,sex,0,138,0.3442028985507246
linear_resample_M32_S64_k3_r16,validation,oct,sex,1,158,0.3639240506329114
linear_resample_M32_S64_k3_r16,validation,oct,label,0,148,0.33783783783783783
linear_resample_M32_S64_k3_r16,validation,oct,label,1,148,0.3716216216216216
linear_resample_M32_S64_k3_r16,validation,oct,age_band,60plus,212,0.3671383647798742
linear_resample_M32_S64_k3_r16,validation,oct,age_band,under60,84,0.32341269841269843
linear_resample_M32_S64_k3_r16,validation,oct,centre,11014,48,0.3402777777777778
linear_resample_M32_S64_k3_r16,validation,oct,centre,11016,22,0.5227272727272727
linear_resample_M32_S64_k3_r16,validation,oct,centre,11018,42,0.36904761904761907
linear_resample_M32_S64_k3_r16,validation,oct,centre,11020,44,0.2840909090909091
linear_resample_M32_S64_k3_r16,validation,oct,centre,11021,64,0.3567708333333333
linear_resample_M32_S64_k3_r16,validation,oct,centre,11024,74,0.34234234234234234
linear_resample_M32_S64_k3_r16,test,cfp,sex,0,118,0.442090395480226
linear_resample_M32_S64_k3_r16,test,cfp,sex,1,172,0.37887596899224807
linear_resample_M32_S64_k3_r16,test,cfp,label,0,145,0.40804597701149425
linear_resample_M32_S64_k3_r16,test,cfp,label,1,145,0.4011494252873563
linear_resample_M32_S64_k3_r16,test,cfp,age_band,60plus,186,0.41487455197132617
linear_resample_M32_S64_k3_r16,test,cfp,age_band,under60,104,0.38621794871794873
linear_resample_M32_S64_k3_r16,test,cfp,centre,11014,48,0.4027777777777778
linear_resample_M32_S64_k3_r16,test,cfp,centre,11018,28,0.43452380952380953
linear_resample_M32_S64_k3_r16,test,cfp,centre,11020,46,0.42028985507246375
linear_resample_M32_S64_k3_r16,test,cfp,centre,11021,60,0.39166666666666666
linear_resample_M32_S64_k3_r16,test,cfp,centre,11024,90,0.3962962962962963
linear_resample_M32_S64_k3_r16,test,oct,sex,0,118,0.4350282485875706
linear_resample_M32_S64_k3_r16,test,oct,sex,1,172,0.42151162790697677
linear_resample_M32_S64_k3_r16,test,oct,label,0,145,0.4045977011494253
linear_resample_M32_S64_k3_r16,test,oct,label,1,145,0.4494252873563218
linear_resample_M32_S64_k3_r16,test,oct,age_band,60plus,186,0.39695340501792115
linear_resample_M32_S64_k3_r16,test,oct,age_band,under60,104,0.4807692307692308
linear_resample_M32_S64_k3_r16,test,oct,centre,11014,48,0.3715277777777778
linear_resample_M32_S64_k3_r16,test,oct,centre,11018,28,0.47023809523809523
linear_resample_M32_S64_k3_r16,test,oct,centre,11020,46,0.39492753623188404
linear_resample_M32_S64_k3_r16,test,oct,centre,11021,60,0.4388888888888889
linear_resample_M32_S64_k3_r16,test,oct,centre,11024,90,0.4740740740740741
radon_M32_S64_k3_r16,validation,cfp,sex,0,138,0.2741545893719807
