number,contrast_id,alias,family,definition,development,development_global_ci,test,test_global_ci,test_minus_development,change_global_ci,development_decision,test_decision
C001,5bd7d7d5ee1fcf899862da89169cdc91c9bbb4a6c3abc07fb32df4383b5328bc,branch_equal_parameters_h512_k1,direct28,等参数几何增益 h512 k1,1.0133414932415876,"[-0.7023699538139099, 2.729052940297085]",0.7943905410818877,"[-1.0339574795468793, 2.622738561710655]",-0.21895095215969995,"[-2.7437560674538783, 2.3058541631344784]",unresolved,unresolved
C002,0ac49d5111424b9e8c735a571daa6b7f5726249e48db79ec8ab19bc40ad425e7,branch_equal_parameters_h512_k3,direct28,等参数几何增益 h512 k3,1.9708640210427724,"[-0.25511998640625255, 4.1968480284917975]",1.8160666166536643,"[-0.3988476863034549, 4.0309809196107835]",-0.15479740438910805,"[-3.2905122883609055, 2.98091747958269]",unresolved,unresolved
C003,c58a2f64bd2b08689992738e2b7073ca435b36127403aad08d0b84c4c44a5328,branch_equal_parameters_h512_k5,direct28,等参数几何增益 h512 k5,2.7035074874084275,"[-1.031603508177664, 6.438618482994519]",2.8841248340338206,"[-1.0050609911407942, 6.773310659208436]",0.18061734662539308,"[-5.195003659926984, 5.55623835317777]",unresolved,unresolved
C004,3fb49ba168433bbfff670412130ac2f65fe5ee97e1aa5142eee7eb5ad5bd24db,branch_equal_parameters_h1024_k1,direct28,等参数几何增益 h1024 k1,2.037938188038793,"[-0.9784135367975191, 5.054289912875105]",0.8509217246202532,"[-2.1074144895928426, 3.809257938833349]",-1.1870164634185398,"[-5.365777867925107, 2.9917449410880277]",unresolved,unresolved
C005,aeb9e07bdc3ef61fbea0cba2182d32d7db984b31bd8ec0667a73fd1d1146f55d,branch_equal_parameters_h1024_k3,direct28,等参数几何增益 h1024 k3,2.996361059766742,"[-0.5295547075512999, 6.522276827084784]",2.759609594163261,"[-0.6719558192474122, 6.191175007573934]",-0.23675146560348104,"[-5.146669522154928, 4.673166590947966]",unresolved,unresolved
C006,73dcbbe1800ff60ea5958c412e193b6955de75209c4b7a1118e8262194f33bed,branch_equal_parameters_h1024_k5,direct28,等参数几何增益 h1024 k5,3.1404115107634922,"[-0.7651371596601488, 7.045960181187134]",1.8977135283735391,"[-2.054427837893518, 5.849854894640597]",-1.242697982389953,"[-6.7899070400281625, 4.304511075248256]",unresolved,unresolved
C007,697bccc29368d5850e11cf7d22d4edbc3efa4d90bcb23d8fac36b2b170dcd5d9,branch_equal_compute_budget512,direct28,等计算预算512,1.8188818503911206,"[-1.2910247481374324, 4.928788448919674]",2.923836557478373,"[-0.2602000167026626, 6.107873131659408]",1.1049547070872523,"[-3.332685343444788, 5.542594757619292]",unresolved,unresolved
C008,2b7ed00373a7796aa75c63f113081afca17661f0ce58ae449b74512fc965ca88,branch_equal_compute_budget512_k3_minus_k1,direct28,等计算预算512 k3 − k1,1.0294789457802311,"[-0.9482081444436377, 3.0071660360041]",0.3891176877375413,"[-1.7572648673282805, 2.535500242803363]",-0.6403612580426898,"[-3.5557581522345267, 2.275035636149147]",unresolved,unresolved
C009,e0d3cffe85166d3147fcaad30279e3977e5fe556d70c5b20b22b98ff937601ad,branch_equal_compute_budget512_k5_minus_k3,direct28,等计算预算512 k5 − k3,,,,,,,not_estimable,not_estimable
C010,6507c6f35a7b52ebe3f16101fa2ca44293734acfb0e137f34aa888aceb8c6a2f,branch_equal_compute_budget1024,direct28,等计算预算1024,3.072336114482955,"[-0.36702632291596116, 6.511698551881871]",2.828487171076535,"[-0.4674254709728034, 6.124399813125874]",-0.24384894340641994,"[-4.991601117196254, 4.503903230383415]",unresolved,unresolved
