arm,bridge,checkpoint_sha256,dc_gain,kernel,maximum_gain,minimum_gain,nyquist_gain,r,receiver,role,seed,sender,stages,width_in,width_out,zero_operator
svd_radon,0,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,1.2060277122349101,3,1.2060277122349101,0.16837585542500177,0.3904464942513189,16,cfp_stage3,self,3416,cfp_stage3,[3],512,512,False
svd_radon,0,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,1.3106142199244628,3,1.3106142199244628,0.13695144657738834,0.43015778740629307,16,cfp_stage3,cross,3416,oct_stage3,[3],512,512,False
svd_radon,0,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,1.8225116161143453,3,1.8225116161143453,0.1511579747336385,0.6004072982415446,16,oct_stage3,cross,3416,cfp_stage3,[3],512,512,False
svd_radon,0,a44472cbb15d9c19cb2933ed47a59a0382766c7a732293bb311f11ca6f788bca,1.1834653456896127,3,1.1834653456896127,0.08261330077212556,0.39153435365792394,16,oct_stage3,self,3416,oct_stage3,[3],512,512,False
svd_radon,0,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,2.8797094011967164,3,2.8797094011967164,0.35764511050868986,0.9354867696199007,32,cfp_stage3,self,3416,cfp_stage3,[3],1024,1024,False
svd_radon,0,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,2.620194416878006,3,2.620194416878006,0.2396504272977975,0.8619622050392811,32,cfp_stage3,cross,3416,oct_stage3,[3],1024,1024,False
svd_radon,0,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,4.137635007827355,3,4.137635007827355,0.267501702248234,1.369314353304004,32,oct_stage3,cross,3416,cfp_stage3,[3],1024,1024,False
svd_radon,0,6bab36ae252cf43cd86c421991858cce5c5df2da2618e777ef1332a97f6826e1,2.8211321605989363,3,2.8211321605989363,0.14603325941259143,0.9367704967645415,32,oct_stage3,self,3416,oct_stage3,[3],1024,1024,False
svd_radon,0,250c0b656c4d6fd643444258bf051b17a40243713a0ef5ae0ebd44e55593c8ae,6.887343750477881,3,6.887343750477881,0.5727349909332032,2.2671928038663594,64,cfp_stage3,self,3416,cfp_stage3,[3],2048,2048,False
svd_radon,0,250c0b656c4d6fd643444258bf051b17a40243713a0ef5ae0ebd44e55593c8ae,5.5830879161482505,3,5.5830879161482505,0.3713453147871114,1.8473387051748669,64,cfp_stage3,cross,3416,oct_stage3,[3],2048,2048,False
svd_radon,0,250c0b656c4d6fd643444258bf051b17a40243713a0ef5ae0ebd44e55593c8ae,7.800448908950355,3,7.800448908950355,0.4286898678306974,2.5871677643560753,64,oct_stage3,cross,3416,cfp_stage3,[3],2048,2048,False
svd_radon,0,250c0b656c4d6fd643444258bf051b17a40243713a0ef5ae0ebd44e55593c8ae,5.425339233885057,3,5.425339233885057,0.26361532611667754,1.8025059131681855,64,oct_stage3,self,3416,oct_stage3,[3],2048,2048,False
qr_radon,0,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,0.0,3,0.0,0.0,0.0,16,cfp_stage3,self,3416,cfp_stage3,[3],512,512,True
qr_radon,0,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,0.0,3,0.0,0.0,0.0,16,cfp_stage3,cross,3416,oct_stage3,[3],512,512,True
qr_radon,0,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,0.0,3,0.0,0.0,0.0,16,oct_stage3,cross,3416,cfp_stage3,[3],512,512,True
qr_radon,0,07dcf544f8639383378b6c42741a67c7cc07275de5c0834f4185764996692230,0.0,3,0.0,0.0,0.0,16,oct_stage3,self,3416,oct_stage3,[3],512,512,True
svd_resample,0,4b32f8371ecbb293a034f95bd32c7ba3a53078fc306a38586568bdd4c859f39d,0.0,3,0.0,0.0,0.0,16,cfp_stage3,self,3416,cfp_stage3,[3],512,512,True
svd_resample,0,4b32f8371ecbb293a034f95bd32c7ba3a53078fc306a38586568bdd4c859f39d,0.0,3,0.0,0.0,0.0,16,cfp_stage3,cross,3416,oct_stage3,[3],512,512,True
svd_resample,0,4b32f8371ecbb293a034f95bd32c7ba3a53078fc306a38586568bdd4c859f39d,0.0,3,0.0,0.0,0.0,16,oct_stage3,cross,3416,cfp_stage3,[3],512,512,True
svd_resample,0,4b32f8371ecbb293a034f95bd32c7ba3a53078fc306a38586568bdd4c859f39d,0.0,3,0.0,0.0,0.0,16,oct_stage3,self,3416,oct_stage3,[3],512,512,True
svd_multidepth,0,5527be1940f952d653d90a3ccf587df675d43b8daa158b1ff696479f52020324,1.405627598624949,3,1.405627598624949,0.27016434120040483,0.4434131446484444,16,cfp_stage2,self,3416,cfp_stage2,"[2, 3]",512,512,False
svd_multidepth,0,5527be1940f952d653d90a3ccf587df675d43b8daa158b1ff696479f52020324,1.4350303629471919,3,1.4350303629471919,0.19719405312178298,0.4638358965684744,16,cfp_stage2,cross,3416,oct_stage2,"[2, 3]",512,512,False
svd_multidepth,0,5527be1940f952d653d90a3ccf587df675d43b8daa158b1ff696479f52020324,1.4664665932067957,3,1.4664665932067957,0.13049910847474244,0.48319648756952094,16,oct_stage2,cross,3416,cfp_stage2,"[2, 3]",512,512,False
svd_multidepth,0,5527be1940f952d653d90a3ccf587df675d43b8daa158b1ff696479f52020324,1.288513267286072,3,1.288513267286072,0.10457922846055308,0.4254643714642774,16,oct_stage2,self,3416,oct_stage2,"[2, 3]",512,512,False
svd_multidepth,1,5527be1940f952d653d90a3ccf587df675d43b8daa158b1ff696479f52020324,1.2565362756048268,3,1.2565362756048268,0.17065727876351938,0.407723685087964,16,cfp_stage3,self,3416,cfp_stage3,"[2, 3]",512,512,False
svd_multidepth,1,5527be1940f952d653d90a3ccf587df675d43b8daa158b1ff696479f52020324,1.0396335957390483,3,1.0396335957390483,0.10677786040081483,0.3418915034077301,16,cfp_stage3,cross,3416,oct_stage3,"[2, 3]",512,512,False
svd_multidepth,1,5527be1940f952d653d90a3ccf587df675d43b8daa158b1ff696479f52020324,2.1352231032433924,3,2.1352231032433924,0.13187461339110987,0.7064322018175792,16,oct_stage3,cross,3416,cfp_stage3,"[2, 3]",512,512,False
svd_multidepth,1,5527be1940f952d653d90a3ccf587df675d43b8daa158b1ff696479f52020324,1.0847031665544398,3,1.0847031665544398,0.06290368288084187,0.3598547384978178,16,oct_stage3,self,3416,oct_stage3,"[2, 3]",512,512,False
svd_multidepth,0,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,1.3793562934786379,3,1.3793562934786379,0.2638768842505694,0.43470807506060405,16,cfp_stage2,self,3416,cfp_stage2,"[2, 3, 4]",512,512,False
svd_multidepth,0,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,1.4017027992343742,3,1.4017027992343742,0.19630665631882455,0.45253737048364373,16,cfp_stage2,cross,3416,oct_stage2,"[2, 3, 4]",512,512,False
svd_multidepth,0,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,1.7071346124758877,3,1.7071346124758877,0.1294217779735596,0.5637128555530057,16,oct_stage2,cross,3416,cfp_stage2,"[2, 3, 4]",512,512,False
svd_multidepth,0,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,1.4872103947790278,3,1.4872103947790278,0.1036071531588757,0.49166944430715864,16,oct_stage2,self,3416,oct_stage2,"[2, 3, 4]",512,512,False
svd_multidepth,1,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,1.5010655230457535,3,1.5010655230457535,0.20190699295970851,0.48626249545545425,16,cfp_stage3,self,3416,cfp_stage3,"[2, 3, 4]",512,512,False
svd_multidepth,1,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,0.9927992778940637,3,0.9927992778940637,0.10249733970236442,0.32692641290963875,16,cfp_stage3,cross,3416,oct_stage3,"[2, 3, 4]",512,512,False
svd_multidepth,1,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,1.3994960197586934,3,1.3994960197586934,0.10624889077327708,0.46259293617660696,16,oct_stage3,cross,3416,cfp_stage3,"[2, 3, 4]",512,512,False
svd_multidepth,1,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,1.51977768601443,3,1.51977768601443,0.061640260570715706,0.5056157426717923,16,oct_stage3,self,3416,oct_stage3,"[2, 3, 4]",512,512,False
svd_multidepth,2,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,1.0045455506036842,3,1.0045455506036842,0.025163625039314907,0.33471786591619895,16,cfp_stage4,self,3416,cfp_stage4,"[2, 3, 4]",512,512,False
svd_multidepth,2,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,0.5446969504855093,3,0.5446969504855093,0.004289818743631467,0.18156201631768223,16,cfp_stage4,cross,3416,oct_stage4,"[2, 3, 4]",512,512,False
svd_multidepth,2,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,0.9352530629005411,3,0.9352530629005411,0.05172631102963738,0.3115384059766519,16,oct_stage4,cross,3416,cfp_stage4,"[2, 3, 4]",512,512,False
svd_multidepth,2,aa42f44be82733175649183d71d562fbdd45db2cdc41cb511cd0ca9e18a2a359,0.554598050374852,3,0.554598050374852,0.034212308688504195,0.18501692256152844,16,oct_stage4,self,3416,oct_stage4,"[2, 3, 4]",512,512,False
svd_radon,0,4cc177193310704f97d689558acb8d3a1be17b515ea429a7bf0d7d87d74dc861,1.3601617751897621,3,1.3601617751897621,0.1990655595030072,0.4387783608116873,16,cfp_stage3,self,3417,cfp_stage3,[3],512,512,False
svd_radon,0,4cc177193310704f97d689558acb8d3a1be17b515ea429a7bf0d7d87d74dc861,1.3914102767109242,3,1.3914102767109242,0.1507634749221789,0.4557696565136011,16,cfp_stage3,cross,3417,oct_stage3,[3],512,512,False
svd_radon,0,4cc177193310704f97d689558acb8d3a1be17b515ea429a7bf0d7d87d74dc861,2.154377519060783,3,2.154377519060783,0.1615964939365105,0.7107181217991239,16,oct_stage3,cross,3417,cfp_stage3,[3],512,512,False
svd_radon,0,4cc177193310704f97d689558acb8d3a1be17b515ea429a7bf0d7d87d74dc861,1.1642250837858532,3,1.1642250837858532,0.09216004810012954,0.38493339538643967,16,oct_stage3,self,3417,oct_stage3,[3],512,512,False
svd_radon,0,4a61de5eefedfbb2f63c4b52419c5d260c3e764e577b71fd0ef3e4dbe83ab7a9,3.2868526519577617,3,3.2868526519577617,0.39949246167820956,1.0672005703450735,32,cfp_stage3,self,3417,cfp_stage3,[3],1024,1024,False
svd_radon,0,4a61de5eefedfbb2f63c4b52419c5d260c3e764e577b71fd0ef3e4dbe83ab7a9,2.8694730862103417,3,2.8694730862103417,0.2571752102480317,0.9448496962313232,32,cfp_stage3,cross,3417,oct_stage3,[3],1024,1024,False
svd_radon,0,4a61de5eefedfbb2f63c4b52419c5d260c3e764e577b71fd0ef3e4dbe83ab7a9,4.100064945321715,3,4.100064945321715,0.27657568495720125,1.3566756963443836,32,oct_stage3,cross,3417,cfp_stage3,[3],1024,1024,False
svd_radon,0,4a61de5eefedfbb2f63c4b52419c5d260c3e764e577b71fd0ef3e4dbe83ab7a9,2.7372648205372356,3,2.7372648205372356,0.14859023156870413,0.9085419678461426,32,oct_stage3,self,3417,oct_stage3,[3],1024,1024,False
